Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What is the primary purpose of BCG’s Global Data Retention Policy?,"The policy sets maximum retention periods and outlines retention practices for BCG Data—data created, owned, or acquired by BCG. It clarifies that local laws may require longer or shorter retention than the global standards and explains that the policy is designed to enable effective data management, reduce storage costs, and reduce risks associated with retaining BCG Data.","“This Policy establishes maximum retention periods and other retention practices for data created, owned, or acquired by BCG (BCG Data). Based on local laws and regulations, data stored locally can be retained for more or less time than set forth in this Policy. This Policy facilitates BCG’s effective management of data, will help reduce storage costs and reduce risks associated with retaining BCG Data.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Who is covered by the Global Data Retention Policy worldwide?,"The policy applies globally to all employees, directors, Partners, officers, suppliers, agents, external contractors, and any other persons associated with BCG, as well as BCG’s owned or controlled subsidiaries and affiliated entities.","“This Global Data Retention Policy (the “Policy”) applies worldwide to all employees, directors, Partners, officers, suppliers, agents, external contractors, and other persons associated with The Boston Consulting Group (“BCG”), and its owned or controlled subsidiaries and affiliated entities.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Does this policy apply to client data BCG receives for engagements?,No. The policy applies only to internal BCG Data. Client data that BCG receives or obtains from a third party on behalf of a client is governed by BCG’s Global Information Policy for Client Engagements and the applicable client agreement.,"“This Policy applies to internal BCG Data and does not apply to client data that BCG receives or obtains from a third party on behalf of a BCG client. Access, retention, and disposition of client data is governed by BCG’s Global Information Policy for Client Engagements and applicable agreements between BCG and the client.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,How does following this policy reduce risk for BCG?,"The policy establishes clear retention schedules and secure disposal practices to manage escalating volumes of digital information. Adherence reduces the likelihood of data breaches, unauthorized access, legal penalties, and non‑compliance, thereby protecting the integrity of sensitive information and aligning with industry best practices.","“It outlines clear retention schedules to maintain essential information for business continuity while reducing the risks linked to long‑term data storage. Compliance with this policy will reduce the likelihood of data breaches, unauthorized access, legal penalties, and non‑compliance with regulations, thereby protecting the integrity of sensitive information and aligning with industry best practices.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What obligations guide BCG’s retention and disposal of BCG Data?,"BCG must retain and dispose of BCG Data in line with applicable legal, regulatory, and contractual obligations. The policy is intended to enable compliant, timely, and efficient access by authorized users.","“BCG is subject to data retention obligations that define the length of time BCG Data must or can be retained, and specifications for disposal or destruction of BCG Data. BCG will retain and dispose of BCG Data in accordance with applicable legal, regulatory, and contractual obligations and this Policy is a way to allow for compliant, timely, and efficient access by authorized users.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Where are the specific retention schedules located and how are they maintained?,The specific retention schedules for different categories of data are provided in the policy’s tables. These schedules are reviewed and updated regularly to ensure ongoing compliance with legal and regulatory requirements.,“Specific retention schedules for different categories of data will be outlined in the table below. These schedules will be regularly reviewed and updated to ensure ongoing compliance with legal and regulatory requirements.”,Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Who is responsible for setting and enforcing retention for data stored in collaboration platforms like SharePoint?,"Data or Product Owners are responsible for establishing and enforcing retention schedules for the data under their purview, including data stored on collaboration platforms such as SharePoint. This includes defining suitable retention periods even when a dataset is not explicitly mentioned in the policy.","“Data or Product Owners must establish and enforce retention schedules for the data under their purview (incl. data stored on collaboration platforms, e.g., SharePoint). This responsibility includes determining the suitable retention periods for their data, including for instances not explicitly mentioned in this policy.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,"If I cannot find a specific retention rule in the policy, what should I do?",You should contact the respective data owner or product owner. The IT Service Catalog provides additional details on how to proceed.,"“In case specific information cannot be found in this policy, the respective data owner or product owner must be contacted. For further details, please refer to the IT Service Catalog.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What is BCG’s baseline approach to how long personal and other data is retained?,BCG retains personal and other data only for as long as necessary to satisfy the purpose for which it was collected. BCG also ensures that any third‑party processor complies with this policy.,“Data Retention. BCG will retain Personal and other Data for only as long as necessary to satisfy the purpose for which the data was collected. BCG will ensure any third‑party processor complies with this Policy.”,Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,When might documents containing personal data need to be retained for longer than usual?,"Documents containing personal data may need extended retention if there is a real risk that they could be the subject of a claim or otherwise be relevant to future litigation. If the data in a document is deleted or anonymized, it may still be retained for an extended period, subject to space or sensitivity considerations.","“Documents containing Personal Data may need to be retained for an extended period if there is a real risk that they could be the subject of a claim or may otherwise be relevant to future litigation. Where Data in a document is deleted or anonymized it may be retained for an extended period (subject to limitations on space, or other concerns regarding the sensitivity of the data.)”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What is a litigation hold or suspension of disposal under this policy?,A litigation hold allows BCG to retain data beyond normal schedules when required for a pending or reasonably anticipated litigation or a government investigation.,"“Litigation Hold or Suspension of Disposal. BCG may retain Data, when required for a pending or reasonably anticipated litigation or government investigation.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What happens to BCG Data when the maximum retention period ends?,"Unless local law or regulations require otherwise, BCG will delete or anonymize the data without undue delay when the maximum retention period identified in the schedules expires.","“Retention Schedules. Unless otherwise required by local law or regulations, BCG, globally, will maintain the following types of data for the maximum periods set forth in the tables below based on legal, compliance or operational requirements. At the end of such period, BCG Data will be deleted or anonymized without undue delay.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Can local offices vary from the global retention schedule?,"Yes. Each BCG office, in conjunction with BCG’s Legal Team, develops a local retention schedule that incorporates the global norms and identifies any deviations required to comply with local laws. Offices also appoint individuals to enforce and periodically review their local schedules.","“Local Office Variations from the Global Schedule. In conjunction with BCG’s Legal Team, each BCG office will develop a local retention schedule, incorporating the global norms wherever possible and identifying deviations (if any) required to comply with jurisdiction‑specific laws. Each office appoints individuals to enforce and periodically review their local retention schedule.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Do departments need their own retention procedures beyond the global schedule?,"Yes. Departments should create, establish, and maintain procedures tailored to their needs and local regulatory requirements. These procedures should capture the data’s lifecycle as used in the department, in a way that reflects regulatory obligations.","“Additionally, departments should create, establish, and maintain, their own procedure specific to their respective department needs and local regulatory requirements. The established procedure should capture the data’s lifecycle idiosyncratic to the department’s process and use of the data, reflective of regulatory requirements.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What access requirements apply to retained data?,"BCG ensures appropriate access to retained data and must be able to produce readily available electronic files, documents, and records upon request.","“Access. BCG will ensure appropriate access to all retained data and ensure BCG is able to produce upon request readily available files, documents, records of data stored electronically.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Are duplicates of BCG Data treated differently for retention purposes?,"No. Duplicates are subject to the same retention rules as the originals. To avoid unintended retention, BCG Data should only be copied when necessary.","“Duplicates. Duplicates of BCG Data are subject to the same retention obligations as the original data used to create the duplicate. To avoid unintended retention, BCG Data should only be copied when necessary.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,How should personal data be classified to support retention tracking?,Data Owners must classify personal data at the time it is created or captured so it can be tracked to the appropriate retention period. The policy points to BCG’s Global Data Classification Policy for additional guidance.,“Classification and Retention. Data Owners will classify Personal Data when creating or capturing it to ensure such data can be tracked to the applicable retention period. (See BCG’s Global Data Classification Policy)”,Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Who can approve an exception to this policy?,Exceptions must be approved by the Data Protection Office. The policy provides the group email address for submitting such requests.,“Exceptions to this policy must be approved by the Data Protection Office (DataProtectionOffice@bcg.com).”,Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,How is the policy enforced and what are potential consequences for violations?,The Data Protection Office actively enforces and periodically audits the policy. Staff who violate the policy may face disciplinary action up to and including termination of employment.,"“BCG Data Protection Office will actively enforce and periodically audit this policy to ensure compliance. Staff who violate this policy may be subject to disciplinary action up to, and including, termination of employment.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What is BCG’s approach to technical controls and staff responsibilities under this policy?,"Wherever possible, BCG will implement technical controls to enforce the policy. If technical protections are not feasible, staff are responsible for operating in accordance with BCG’s data privacy and security policies, guidelines, and best practices.","“Wherever possible, technical controls will be put in place to enforce this policy. In cases where technical protections are not feasible or not possible, staff will be responsible for operating in accordance with data privacy and security policies, guidelines, and best practices published by BCG.”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,What internal policy resources does this document reference?,"It references other internal documents including the Global Data Classification Policy, the Global Data Protection Policy, the Global Electronic Communications Policy, the Global Information Security Policy, the Global Information Policy for Client Engagements, the Global Personal Data Breach Notification Policy, and the Master List of Global Data Privacy Terms.","“BCG internal documentation:
• Global Data Classification Policy [Link]
• Global Data Protection Policy [Link]
• Global Electronic Communications Policy [Link] 
• Global Information Security Policy [Link]
• Global Information Policy for Client Engagements [Link] 
• Global Personal Data Breach Notification Policy [Link]
• Master List of Global Data Privacy Terms [Link]”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Which external standard does the policy reference?,The policy references ISO/ DIS 22301:2019—an information security management systems requirements standard.,"“External documentation: 
• ISO/ DIS 22301:2019, Information technology — Security techniques — Information security management systems — Requirements [Link]”",Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,How often is this policy reviewed and who maintains it?,The policy is reviewed annually and is maintained and updated to remain compliant with regulatory requirements.,“This policy is reviewed annually and maintained and updated in compliance with regulatory requirements.”,Global Data Retention Policy
Data_Retention_Policy_Global_2025_gt_v1,Global Data Retention Policy-v.3.5.pdf,Rebecca Williams,Who issued the policy and to whom does it apply within BCG?,It is issued by the BCG – ISRM SGRC Team and its distribution is to all BCG.,“Issued by BCG – ISRM SGRC Team … Distribution All BCG”,Global Data Retention Policy
