Dataset_id,policy_content_file_name,groundtruth_owner,Ground Truth Question,Ground Truth Answer,Exact Source Text,Policy Document Title
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,What is the purpose of the broadband reimbursement policy for BST staff?,"The policy sets out the guidelines for how BST staff can be reimbursed for home broadband, emphasizing that reimbursement is contingent on line manager approval and alignment with broader organizational standards. It defines the scope and conditions under which the benefit may be availed by eligible staff.","This policy defines the guidelines for broadband reimbursement for BST staff, subject to line manager approval and organizational standards.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Who can apply for broadband reimbursement under this policy?,"Only BST staff are covered, and they must have approval from their line manager. Without line manager approval, the policy does not apply.",Policy is applicable only to BST staff with Line Manager approval.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,How much can I get reimbursed each month for my home internet?,"The monthly reimbursement is capped at INR 1200. If your costs exceed that amount, the excess must be handled through the communication expense process via salary, not through the standard broadband reimbursement.","Monthly reimbursement limit: INR 1200.
Expenses above INR 1200 must be claimed as part of Communication Expense through salary.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Can I claim reimbursement if my home internet connection is not in my name?,No. The reimbursement is permitted only when the home internet connection is registered in the staff member’s own name; connections in any other name are not eligible.,Reimbursement is allowed only if home internet is in the staff member’s name.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,I still have a MiFi or data card issued by BCG. Can I start claiming broadband reimbursement?,Not yet. You must return any assigned MiFi or data card to the Local IT team before you can avail the broadband reimbursement benefit.,Any MiFi/Data card assigned must be returned to Local IT before availing this benefit.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Where do I submit my broadband reimbursement claim and how should I code it?,Submit your claim in Chrome River and charge it to the correct case code based on your home office. Choosing the appropriate code is required for the claim to be processed correctly.,"Use the correct case codes as below (basis your home office), when submitting claims in Chrome River",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"If my home office is Bengaluru (BGL), Chennai (CHE), Mumbai (MUM), or New Delhi (NDE), which case code should I select in Chrome River?","For BGL, CHE, MUM, and NDE home offices, use the case code 60001067.1.1 when submitting your claim in Chrome River.","o BGL, CHE, MUM, NDE : 60001067.1.1",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,What case code applies to the GSD home office for broadband reimbursement claims?,"If your home office is GSD, charge the expense to case code 60000817.1.1 in Chrome River.",o GSD : 60000817.1.1,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Which case code should I use if my home office is BEK?,"For the BEK home office, use case code 60000816.1.1 when submitting your claim in Chrome River.",o BEK : 60000816.1.1,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,What is the correct case code for IKA when filing a claim?,"If your home office is IKA, select case code 60000818.1.1 in Chrome River for your broadband reimbursement claim.",o IKA : 60000818.1.1,Broadband Reimbursement Policy for BST Staff
