Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: What does “electronic communication” mean at BCG?,"A: Under BCG’s Global Electronic Communications Policy, “electronic communication” means the exchange of information, messages, or data through electronic means and technology. The policy clarifies that the term covers digital interactions in the workplace and serves as the foundation for how BCG expects staff to use technology to protect corporate and client information.","“Electronic communication” refers to the exchange of information, messages, or data through electronic means and technology.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Which tools and “Systems” are included under this policy?,"A: The policy states that it encompasses all digital communication tools and systems used in the workplace. This broad scope ensures that the rules apply consistently across email, instant messaging, social media, collaboration tools, conferencing, text messaging, electronic forms, blogs and podcasts, and mobile storage media.","It encompasses all digital communication tools and systems (“Systems”) used in the workplace, including, but not limited to:",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,"Q: Is email (for example, Microsoft Outlook) covered by this policy?","A: Yes. Email is explicitly in scope. The policy includes sending and receiving messages electronically via email platforms such as Microsoft Outlook, so email usage must follow all requirements described in the policy.",Email: Sending and receiving messages electronically via email platforms such as Microsoft Outlook.,Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Are instant messaging (IM) tools like Slack or Microsoft Teams covered?,"A: Yes. Instant messaging is covered, including the use of real‑time chat applications such as Slack or Microsoft Teams. Communications on these platforms must comply with the professional conduct, security, and confidentiality requirements in the policy.",Instant Messaging (IM): Using real-time chat applications such as Slack or Microsoft Teams.,Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: How does the policy treat business use of social media such as LinkedIn or TikTok?,"A: Business use of social media is in scope. The policy covers interactions on social media platforms for business purposes, including official company accounts and professional networking platforms such as LinkedIn and TikTok.","Social Media: Interacting on social media platforms for business purposes, including official company social media accounts and professional networking platforms, such as LinkedIn, TikTok.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Are collaboration platforms like Microsoft SharePoint included?,"A: Yes. Collaboration tools are within scope. The policy cites platforms like Microsoft SharePoint and other tools used for document sharing, collaboration, and project management.","Collaboration Tools: Using platforms like Microsoft SharePoint, or others for document sharing, collaboration, and project management.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,"Q: Do phone calls, faxes, or video conferences (e.g., Zoom) fall under the policy?","A: Yes. Telephone and videoconferencing are covered, including making phone and voice calls, sending fax, and conducting video conferences using applications such as Zoom, Cisco WebEx, or Microsoft Teams.","Telephone and Videoconferencing: Making phone calls, voice calls, sending fax or conducting video conferences using applications like Zoom, Cisco WebEx, or Microsoft Teams.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Can I use SMS or text messages for work communication?,"A: Text messaging is in scope. The policy covers use of short messaging services (SMS) or other text messaging services for work‑related communication, and all such use must comply with the policy’s standards.",Text Messaging: Using short messaging services (SMS) or other text messaging services for work‑related communication.,Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,"Q: Is submitting an online form (e.g., via BCG IT Connect) considered electronic communication?","A: Yes. Electronic forms are included. Submitting forms, requests, or applications electronically through online systems such as BCG IT Connect is covered by the policy.","Electronic Forms: Submitting forms, requests, or applications electronically through online Systems such as BCG IT Connect.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,"Q: Are blogs, forums, and podcasts part of the policy’s scope?","A: Yes. Publishing posts and articles, or digital audio or video files on external platforms (blogs, forums, or podcasts) is covered and must follow the policy’s requirements.","Blogs, Forums and Podcasts: Publishing posts, articles or digital audio or video files on external platforms.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Does mobile storage—like USB drives and storage cards—fall under this policy?,"A: Yes. Storing data on mobile storage media such as USB devices, storage cards, and portable devices is in scope and must be managed in line with the policy’s security and confidentiality requirements.","Mobile Storage: Storing data on hardware that can transport data, such as USB devices, storage cards, portable devices.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: What is the primary purpose of BCG’s Global Electronic Communications Policy?,"A: The policy is designed to protect the confidentiality, integrity, and availability of data and to ensure BCG uses electronic communications in a way that is consistent with BCG’s values, other BCG policies, and applicable laws. It frames how staff should communicate to safeguard corporate and client information.","This Policy is designed to protect the confidentiality, integrity, and availability of data and to ensure BCG uses Electronic Communications consistent with BCG’s values, policies, and applicable laws.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: What types of risks does the policy aim to reduce?,"A: The policy is intended to reduce a wide range of risks, including data interception and modification, eavesdropping, phishing, social engineering attacks, inadequate authentication, malware, data loss, intellectual property risks, and misuse. These risks inform the rules for how electronic communications must be managed.","This Policy also reduces risks to the organization including risks of data interception, data modification, eavesdropping, phishing, social engineering attacks, inadequate authentication, malware, data loss, intellectual property risks, and misuse.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Who is covered by this policy in terms of people and roles?,"A: The policy applies to everyone associated with BCG, including employees, directors, Partners, officers, suppliers, agents, external contractors, and other associated persons such as Senior Advisors and Emeriti. It also applies to BCG’s owned or controlled subsidiaries and affiliated entities, including Specialty Business Units (SBUs).","This Policy applies worldwide to all information and communications systems owned and/or operated by, or on behalf of BCG accesses or accessible by all employees, directors, Partners, officers, suppliers, agents, external contractors, and other persons associated with BCG (e.g., Senior Advisor, Emeritus), its owned or controlled subsidiaries and affiliated entities, incl. Specialty Business Units (SBUs)…",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Which systems and devices are in scope for this policy?,"A: All information and communications systems owned and/or operated by, or on behalf of BCG are covered, and the scope extends to any device, tool, or platform. This ensures that policy requirements follow the data and the system, not just a particular hardware type.","This Policy applies worldwide to all information and communications systems owned and/or operated by, or on behalf of BCG… located on any device, tool or platform.",Global Electronic Communications Policy
Electronic_Communications_Policy_global_2025_gt_v1,Global Electronic Communications Policy-v.2.0.pdf,Rebecca Williams,Q: Does the Global Electronic Communications Policy apply globally?,"A: Yes. The policy explicitly states that it applies worldwide, ensuring consistent controls and expectations across all BCG locations.",This Policy applies worldwide…,Global Electronic Communications Policy
