Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,What is the purpose of BCG’s Global Employee Data Privacy Policy?,"The policy explains how BCG collects, uses, discloses, and protects employee personal information in a transparent way and in alignment with applicable privacy laws and regulations. It sets out rules for handling employee data across the firm. ","BCG is committed to protecting the privacy and confidentiality of its employees' personal information. This Global Employee Data Privacy Policy (the “Privacy Policy”) outlines how BCG collects, uses, discloses, and protects employee data transparently and in compliance with applicable privacy laws and regulations.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,What risk does the policy address and how is it managed?,"The policy manages the risk of unauthorized access, disclosure, or misuse of employee data by defining rules and safeguards that uphold confidentiality, integrity, and security, and by ensuring compliance with relevant data protection laws and regulations.","This Privacy Policy aims to maintain the confidentiality, integrity, and security of employee data while ensuring compliance with relevant data protection laws and regulations. It outlines rules and safeguards in place to prevent the potential risk of unauthorized access, disclosure, and misuse of data, either due to internal or external factors.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,Who is covered by the policy and are contractors included?,"The policy applies worldwide to all employees, directors, Partners, and officers of BCG and its subsidiaries and affiliates. It does not apply to contractors.","This Privacy Policy applies worldwide to all employees, directors, Partners, and officers (“employees”) of The Boston Consulting Group Inc. and all its subsidiaries and affiliates worldwide (“BCG”). It does not apply to contractors.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,"Are an employee’s beneficiaries and emergency contacts covered, and what must employees do regarding them?","Yes. The policy also applies to individuals covered by an employee’s benefits, such as those on the employee’s health plan, beneficiaries of retirement accounts, and the employee’s emergency contacts. Employees are responsible for informing those individuals about the policy and ensuring they have the right to provide their personal data to BCG.","It also applies to the beneficiaries of employee’s employment benefits, such as the individuals who are on employee’s health plan and the beneficiaries of employee’s retirement accounts, as well as employee’s emergency contacts. It is the employee’s responsibility to inform any such individuals about this Privacy Policy and ensure that they have the right to provide their Personal Data to BCG.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,What core personnel and benefits records does BCG maintain for employees?,BCG maintains personnel and benefits records for all employees as part of its role as data controller and processes this data under legitimate interests given the employer–employee relationship.,"BCG maintains and collects personnel and benefits records for all employees… BCG is data controller for the purposes of collecting and storing our employees’ Personal Data. Given the employer/employee relationship, we rely upon legitimate interest as a legal basis for processing employee Personal Data.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,What information is included in employee personnel and benefits records?,"Employee records can include identifiers and work systems data (e.g., employee identification number, time & billing system identifiers, payroll identifier and country), travel and work location information, office contact details, employment dates and status, base hours, job title and function, cohort, salary and other payments, tax data, benefits and insurance enrollment status, responsibility and cost centre information, and employment documents such as applications, employment agreements where applicable, performance reviews, letters of commendation or disciplinary warnings, and other employment-related documents.","The information in these records includes: • employee identification number; • time & billing system identifiers; • payroll identifier and country; • travel information; • work locations; • office contact information; • dates of employment; • employment status; • base hours; • job title; • job function/career step and cohort; • salary; • other payments and tax data; • benefits and insurance enrolment status; • responsibility centre; • cost centre allocations; • employment application; • employment agreement (if applicable); • performance reviews, • letters of commendation and disciplinary warnings; • and other documents related to your employment.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,"Beyond HR records, what other personal data does BCG maintain about employees?","BCG may hold additional personal data such as names and titles, device IP addresses, work and home contact details, date of birth, bank account and pension/benefits information, citizenship and nationality, passport or identification details, visa issuance data, educational background, background check results, demographic details like gender and marital status, photographs, national identification numbers, next‑of‑kin and emergency contacts, and other information collected in the course of employment.","BCG also maintains other Personal Data concerning each employee, such as: • the person’s names and titles; • device IP addresses, • work address and telephone number; • home address and telephone number; • date of birth; • bank account details; • pension and benefits information; • citizenship and nationality; • passport or identification document details; • visa issuance data; • educational background; • criminal or credit check data as a result of background checks; • gender; • marital status; • photograph; • social insurance or national identification numbers; • next of kin and emergency contact information; and • other information collected in the course of employment.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,Where is employee personal data stored and who can access it?,BCG stores personal data in systems and applications located in Europe and the United States. Access is limited to authorized persons or vendors who are bound by privacy requirements.,"BCG maintains and stores Personal Data in systems and applications located in Europe and the United States, and the Personal Data is only accessible by authorized persons or vendors who are bound by privacy requirements.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,Where can employee personal data be processed and what governs transfers within BCG?,"Personal data may be processed in various locations where BCG conducts business, including the United States and other countries. Transfers within BCG entities are governed by intra‑company agreements, local data export restrictions, and applicable local privacy laws.","Personal Data may be processed at various locations where BCG conducts business, including in the United States and other countries. Data transfers within BCG entities are governed by BCG’s intra company agreements, local data export restrictions and/or local data privacy laws.",Global Employee Data Privacy Policy (Version 1.3)
Data_Privacy_Policy_Global_2025_gt_v1,Global Employee Data Privacy Policy-v.1.3.pdf,Rebecca Williams,For what purposes does BCG use employee personal data?,"BCG uses employee personal data to run its employment and business processes. Purposes include payroll processing; benefit and compensation programs; preparing proposals to prospective clients; assessing performance or suitability, including for internal moves; performing the employment contract; analyzing office access and operations; identifying work locations; travel and security administration; time recording and reporting; internal directories such as BCG Navigator and the Alumni Directory; workforce composition analysis; assignment and advancement decisions; business administration and internal communications; productivity measurement; policy compliance; insurance administration; other BCG programs and systems; and compliance with legal obligations.",Personal Data is used to manage following purposes: • processing payroll; • benefit and compensation programs; • preparing proposals to prospective clients; • assessing performance or suitability for employment (including internal moves); • performance of the employment contract; • facilitating analysis of office access and operations; • identifying work locations; • travel and security administration; • time recording and reporting; • BCG Navigator or other internal directories such as BCG’s Alumni Directory; • analysing the composition of BCG’s workforce; • making assignment and advancement decisions; • administering BCG’s business and facilitating internal communications; • measuring productivity; • assuring compliance with BCG’s policies; • administering insurance; • administering other BCG programs and systems; and • complying with legal obligations.,Global Employee Data Privacy Policy (Version 1.3)
