Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,What is the primary aim of BCG’s Global Software Policy?,"The Global Software Policy establishes the rules for installing and using software on BCG‑managed and owned devices so that only approved applications are used and confidential information is not put at risk. It addresses the security and compliance risks created by unauthorized or internet‑downloaded software—such as malware, licensing exposures, and criminal exploitation of BCG’s network—and emphasizes protecting the confidentiality, integrity, and availability of BCG and client information. In short, it exists to ensure secure, compliant, and reliable software usage across BCG’s environment.","“This Global Software Policy (the “Policy”) outlines the rules that apply to the installation of any Software on BCG managed and owned computing devices used by staff as part of their work for BCG.” “Installation of unauthorized Software, including files downloaded and accessed on the internet, can easily and quickly introduce serious, fast-spreading security vulnerabilities such as malware infections, Software licensing issues or exploitation of BCG’s network by criminals.” “…aims to protect the confidentiality, integrity, and availability of BCG and its client information contained within BCG environment.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,Who is covered by this policy and which devices does it apply to?,"The policy applies to all BCG‑managed and owned computing devices provided to BCG employees, Managing Directors and Partners, officers, contractors, suppliers, and other third parties associated with BCG, including owned or controlled subsidiaries, affiliated entities, and Specialty Business Units. It covers everyone using a BCG‑owned or BCG‑managed device, regardless of whether the device is connected to a BCG office or the corporate network at the time of use.","“This Policy applies to all BCG managed and owned computing devices provided to all BCG employees, Managing Directors and Partners, officers, contractors, suppliers, and other third parties associated with the Boston Consulting Group, and its owned or controlled subsidiaries, affiliated entities (“BCG”) and Specialty Business Units (SBUs). It applies to everyone using a BCG owned or managed computing device, whether the device is connected to the BCG office or network at any given time.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,Does the policy still apply if my BCG device is offline or away from a BCG office?,Yes. The policy explicitly applies to anyone using a BCG‑owned or BCG‑managed computing device whether or not the device is connected to a BCG office or the corporate network at that moment.,"“It applies to everyone using a BCG owned or managed computing device, whether the device is connected to the BCG office or network at any given time.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,Which information‑security standards does this policy align to?,"The policy is aligned to ISO/IEC 27001:2022, specifically controls A.5.20, A.8.25, and A.8.30.","“Security Framework Alignment • ISO/ IEC 27001:2022: A.5.20, A.8.25, A.8.30”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,What kinds of computing devices does BCG provide and manage for staff?,"BCG provides company‑owned devices or at least corporate‑managed devices for staff use, which can include laptops, desktop computers, and mobile phones.","“In general, The Boston Consulting Group (“BCG”) provides its staff with company owned devices or at least corporate managed computing devices (e.g., laptops, computers, mobile phones).”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,Can I install software on my BCG device myself?,No. Mandatory software installations on BCG devices are managed by IT to ensure compliance with the policy and the protection of BCG and client information. Staff are not permitted to install software or programs on BCG‑owned devices except for items listed in BCG’s Product and Service Catalog.,"“All mandatory Software installations on these devices are managed, by the IT to ensure that their use meets the requirements of this policy and does not put BCG, its staff or information of BCG or its clients at risk.” “BCG staff is not permitted to install any Software or programs, except the ones listed in BCG’s Product and Service Catalog, on BCG owned devices.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,What compliance requirements apply to the software and content I use on BCG devices?,"All software and content used on BCG resources must comply with applicable copyrights, regulations, contracts, licensing agreements, and BCG values. Use of BCG resources must always conform to all applicable laws.","“All Software and content must comply with applicable copyrights, regulations, contracts, licensing agreements and BCG values. In every case and at all times use of the BCG resources must conform to all applicable laws.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,"If I need new software for my work, how must it be purchased?","All computer software to be used at BCG must be purchased through BCG’s IT department so that licensing can be addressed, compatibility with the corporate image can be confirmed, the IT Service Desk can support it, and the organization can maintain a record of installations.",“All computer software to be used within BCG must be purchased through BCG’s IT department. This is necessary to ensure that: • Licensing requirements are addressed • The software works effectively with the standard corporate software image • Use of the software can be supported by the IT Service Desk • A record of installed software is kept within the organization”,Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,How are software licenses and registrations handled at BCG?,"All software in use at BCG must be correctly licensed, and installed programs must be registered in the organization’s name rather than an individual’s. Purchased software is treated as a corporate asset and licenses may be reused as organizational needs change.","“All Software in use within BCG must be correctly licensed.” “All installed software programs must be registered in the name of the organization, not the individual. Purchased software is a corporate asset and licenses will frequently be reused as the shape of the organization changes.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,May I use BCG‑licensed software on my personal device?,"No. Use of corporate software on non‑corporate machines, including personally owned devices, is not allowed.","“Use of corporate software on non-corporate machines, such as personal-owned machines is not allowed.”",Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,"How does BCG track software installations, and what happens if software is unlicensed?","BCG uses asset‑management software to track all installed instances of software titles and conducts regular audits. Users with unlicensed software will be asked to remove it, and each user is responsible for ensuring all software on their equipment is properly licensed.",“Asset management software must be used to keep track of all installed instances of software titles and regular audits will be carried out. Any user with unlicensed software installed will be asked to remove it; it is the responsibility of users to ensure that all the software on their computer equipment is licensed.”,Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,"Who installs software on BCG devices, and are there cases where an end user may install or update software?",Licensed software is installed by the IT Service Center or the appropriate technical team or supplier once the required licenses have been purchased. End users may install or update software only when they are notified and advised to do so by local IT.,“Licensed software will be installed by the IT Service Center or appropriate technical team or supplier upon request and once any required licenses have been purchased. End users might install and/or update software if notified and advised accordingly by local IT.”,Global Software Policy
Software_Policy_Global_2025_gt_v1,Global Software Policy-v.3.3.pdf,Rebecca Williams,Can software be installed before a valid license is ordered?,No. Software will not be installed before a valid license has been ordered.,“Software will not be installed prior to a valid license being ordered.”,Global Software Policy
