Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
DataBreach_Notification_Policy_Global_2025_gt_v1,Global Personal Data Breach Notification Policy-v.2.1.pdf,Rebecca Williams,What is the purpose of BCG’s Global Personal Data Breach Notification Policy?,"The policy sets out what BCG must do when a Personal Data Breach occurs, providing a global approach and clear guidelines for detecting issues, promptly containing any breach, assessing the risk to individuals, deciding whether notifications to regulators or affected individuals are required, and managing the resulting communications. It exists to support BCG’s compliance with applicable data privacy and protection laws. ","“This Global Personal Data Breach Notification Policy (“policy”) describes what BCG must do in the event of a Personal Data Breach… This policy clarifies BCG’s global approach to and guidelines for detecting, promptly containing any Personal Data Breach, assessing risk to individuals, determining whether it is necessary to notify any regulatory authority or affected individuals, and to communicating the Personal Data Breach to the regulatory authority or affected individuals if necessary.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,Which laws and regulations does this policy help BCG comply with?,"The policy underpins BCG’s compliance with data privacy and protection laws that apply to BCG, including the EU General Data Protection Regulation (GDPR), China’s Cybersecurity Law (CSL), China’s Personal Information Protection Law (PIPL), the California Consumer Privacy Act (CCPA), and the U.S. Health Insurance Portability and Accountability Act (HIPAA). The reference to these frameworks is illustrative and not exhaustive. ","“It is a critical part of BCG’s compliance with data privacy and protection laws and regulations applicable to BCG, including, but not limited to, the EU General Data Protection Regulation (“GDPR”), the China Cybersecurity Law (“CSL”), Personal Information Protection Law (“PIPL”), the California Consumer Protection Act (“CCPA”) and the US Health Insurance Portability and Accountability Act (“HIPAA”) (collectively, the “Applicable Data Privacy Laws”).”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,Who does the policy apply to across BCG?,"The policy applies worldwide to everyone associated with BCG: all employees, managing directors and partners, officers, suppliers, agents, external contractors, and any other persons linked to The Boston Consulting Group and its owned or controlled subsidiaries and affiliated entities, including Specialty Business Units. ","“This policy applies worldwide to all employees, managing directors, and partners, officers, suppliers, agents, external contractors, and other persons associated with The Boston Consulting Group and its owned or controlled subsidiaries and affiliated entities, incl. Specialty Business Units (SBUs) (collectively, “BCG”).”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,Which security and good‑practice frameworks does the policy align to?,"The policy is aligned to ISO/IEC 27001 control A.18.1.4 and to the Information Security Forum’s Standard of Good Practice, specifically IM1.2 (Information Privacy) and IM2 (Information Protection). These references help anchor the policy to recognized security and privacy controls. ","“Security Framework Alignment • ISO/IEC 27001: A.18.1.4 • ISF SOGP: IM1.2 Information Privacy, IM2 Information Protection”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,How does the policy define Personal Data?,"Personal Data is defined as any information relating to an identified or identifiable natural person. An identifiable natural person is one who can be identified, directly or indirectly, by reference to an identifier such as a name, an identification number, location data, or an online identifier. ","“Personal Data: Any information relating to an identified or identifiable natural person, with an identifiable natural person meaning one who can be identified, directly or indirectly, by reference to an identifier, including, but not limited to, name, an identification number, location data, or an online identifier.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,How does the policy define Protected Health Information (PHI)?,"Protected Health Information, or PHI, is individually identifiable health information as further defined under HIPAA. ",“Protected Health Information (“PHI”): means individually identifiable health information as further defined under HIPAA.”,Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,"What is a Personal Data Incident under this policy, and can you give examples?","A Personal Data Incident is a suspected adverse event—either accidental or intentional—in an information system, network, or resource, or even the threat of such an event, when it involves Personal Data or PHI. Examples include unauthorized use of another user’s account, misuse of system privileges, or running malicious code that destroys data. The term “incident” signals that harm has occurred or could occur. ","“Personal Data Incident: A suspected adverse event (accidental or intended) in an information system/network/resource, or the threat of the occurrence of such an event involving Personal Data and/or PHI. Examples of a Personal Data Incident include unauthorized use of another user’s account, unauthorized use of system privileges, and execution of malicious code that destroys data. ‘Incident’ implies harm, or the potential for harm.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,What qualifies as a Personal Data Breach?,"A Personal Data Breach is a confirmed security breach that leads to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to Personal Data in transit, at rest, or otherwise processed. The concept also encompasses any breach of unsecured PHI under HIPAA. ","“Personal Data Breach: A confirmed breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to, Personal Data transmitted, stored, or otherwise processed. Such breach may also include, but is not limited to, any breach of unsecured PHI under HIPAA.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,How does the policy define a Breach of PHI?,A Breach of PHI is an impermissible use or disclosure of PHI under HIPAA that compromises the security or privacy of that information. Such an impermissible use or disclosure is presumed to be a breach unless BCG can show there is a low probability the PHI has been compromised. ,"“Breach of PHI: An impermissible use or disclosure of PHI under HIPAA which compromises the security or privacy of the PHI. The impermissible use of PHI is presumed to be a breach, unless it can be demonstrated by BCG that there is a low probability the PHI obtained has been compromised.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,Are there exceptions to what counts as a Breach of PHI?,"Yes. There are three exceptions: (1) unintentional acquisition, access, or use by someone within the authorized workforce or acting under the authority of a covered entity or business associate, when done in good faith and within scope; (2) an inadvertent disclosure by someone authorized to access PHI to another person also authorized to receive PHI within the same covered entity, business associate, or organized health care arrangement; and (3) when BCG has a good‑faith belief that the unauthorized recipient could not have retained the PHI. ","“There are three exceptions to this definition of ‘breach,’ which are as follows: I. The PHI was unintentionally acquired, accessed, or used by a workforce member or person acting under the authority of a covered entity or business associate, where such acquisition, access, or use, was made in good faith and within the scope of authority; II. The PHI was inadvertently disclosed by a person who had authorization to access the PHI, whether a covered entity or business associate, to another person who was also authorized to have access to PHI at the covered entity, business associate, or organized health care arrangement in which the covered entity participates; or III. The covered entity or business associate has good faith that the unauthorized person which the impermissible disclosure was made to, would not have been able to retain the PHI.”",Global Personal Data Breach Notification Policy
Global_Personal_Data_Breach_Notification_Policy_gt_v1,Global Personal Data Breach Notification Policy,Rebecca Williams,Who maintains BCG’s Personal Data Breach Management Program?,"BCG’s Data Protection Office (DPO) maintains the Personal Data Breach Management Program, which is designed to ensure the organization can respond to any Personal Data Breach effectively. ",“BCG’s Data Protection Office (“DPO”) will maintain a program designed to respond to any Personal Data Breach (the “Personal Data Breach Management Program”).”,Global Personal Data Breach Notification Policy
