Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,What is the purpose of the BCG India Social Media Policy?,"The policy serves as a comprehensive guide for BCGers on the use of social media. It brings together direction on how to post about external organizations, how to respond to negative news about BCG, who may act as online spokespeople, how to request promotion on official BCG channels, and how to report violations, so that BCGers in India have clear, centralized guidance.",BCGers  comprehensive guide for use of social media,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Who issued this policy and who should I contact for interpretation?,"The policy was issued by the BCG India Marketing Team together with BCG’s Executive Committee. For questions, write to IndiaMarketing@bcg.com.",Issued by: BCG India Marketing Team and BCG’s Executive Committee Interpretation Contact:  IndiaMarketing@bcg.com,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,When was the policy issued and when was it last reviewed?,"The document states that it was issued in January 2025, and the last review date is also January 2025.","Date issued: January 2025
Last review date: January 2025",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Who is the distribution audience for this policy?,The distribution specified in the document is BCG India.,Distribution: BCG India,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"May I post criticism or negative opinions about clients, competitors, or the government on my personal social accounts?","No. The policy instructs BCGers to refrain from posting negative or controversial thoughts or comments about the competition, clients, existing or potential companies, and the Government. If you have any doubt, you are directed to consult the Marketing team at indiamarketing@bcg.com.","Posting about External Organizations : Refrain from posting negative or controversial thoughts or comments about the competition, clients, existing/potential companies, and the Government. Consult with the Marketing team in case of any doubt -  indiamarketing@bcg.com .",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"If I am unsure whether a post about an external organization is appropriate, what should I do?",The policy asks you to consult the Marketing team in case of any doubt and provides the email address indiamarketing@bcg.com.,Consult with the Marketing team in case of any doubt -  indiamarketing@bcg.com .,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,How should I respond if I see a negative or disparaging post about BCG online?,"You should not react yourself. The policy directs that in case of any negative conversation about BCG, you should reach out to indiamarketing@bcg.com rather than engaging directly.","Reaction to Negative News : You may come across negative or disparaging posts about BCG or see third parties trying to spark negative conversations. Avoid the temptation to react yourself. In case of any negative conversation about BCG, kindly reach out to  indiamarketing@bcg.com .",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,What exactly should I send when reporting online content that could harm BCG’s image?,"Do not engage with the content. Instead, send the URL and a screenshot of the post to IndiaMarketing@bcg.com with the subject line “Social media risk-related activity.”","Do not engage with the content or comment, instead send the URL and a screenshot of the post to  IndiaMarketing@bcg.com  with the subject line ""Social media risk-related activity"".",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Can I share personal thought leadership on my LinkedIn or blog? What should I do first?,"Yes, but the policy asks that before you post anything, you reach out to Indiamarketing@bcg.com for training and education under BCG’s guidelines for social media spokespeople.","BCG has guidelines for social media spokespeople, and we ask that before you post anything, you reach out to  Indiamarketing@bcg.com  for training and education.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"Who is automatically eligible to be an online spokesperson for BCG, and is training still required?","Senior partners and partners are automatically eligible to be spokespeople, and they still must be trained.","Senior partners and partners are automatically eligible to be spokespeople, but still must be trained.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,I’m not a partner but want to serve as a spokesperson online. What do I need to do?,Anyone who is not already automatically eligible must obtain the appropriate approvals beforehand in order to be a BCG social media spokesperson.,Anyone else who is interested must get appropriate approvals beforehand.,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"If I am not an official spokesperson but want to post expertise that BCG covers, what disclaimer must I include?","If you are not an official BCG social media spokesperson and are creating and sharing content expressing your views on an area of expertise that BCG covers, you must clearly state that the content reflects your personal opinion and not that of your employer.","Suppose you are not an official BCG social media spokesperson and are creating and sharing content expressing your views on an area of expertise that BCG covers - in that case, you must clearly state that the content reflects your personal opinion and not that of your employer.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,How does the policy distinguish between personal thought leadership and a simple repost?,"Personal thought leadership involves creating and publishing original content that showcases your expertise and insights on a topic, while sharing a simple post might involve re‑posting a third‑party article or update from a reputable source without adding significant detailed commentary or analysis.",Personal thought leadership involves creating and publishing original content that showcases your expertise and insights on a topic while sharing a simple post might involve re-posting a third-party article or update from a reputable source without adding significant detailed commentary or analysis.,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,How can I get something promoted on BCG India’s official social media channels?,"If your efforts fall under the eligible categories, you should share the details with IndiaMarketing@bcg.com and obtain prior permission from PA nodes or the concerned MDPs. The India Marketing team will then decide the appropriate way to broadcast it.","If your efforts fall under any of the below categories, kindly share the details to  IndiaMarketing@bcg.com  – along with prior permission from PA nodes/concerned MDPs – with India marketing team to decide the appropriate way to broadcast it.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,What broad topics are typically promoted on BCG India’s social media handles?,"The policy lists the following broad topic areas for promotion on BCG India’s social media handles: BCG’s capabilities and offerings; Thought Leadership; Events; and Rewards, recognition and accolades by prestigious organizations.","As general guideline, here are the broad topics that are promoted on BCG India's social media handles: •  BCG's capabilities and offerings •  Thought Leadership – Includes report launches, authored media articles, quotes in media stories, etc. •  Events – SATT (BCG holding a prominent position at the event, such as Knowledge Partnership, shaping the agenda, etc.) – Platinum speakership opportunities (present at eminent platforms such as ET, CII, Forbes) where  BCGers  are participating as panelists or moderators. – Participation at new age media platforms such as podcasts – BCG hosted client events such as Wealth Management Summit •  Rewards, recognition and accolades  by prestigious organizations",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"Within the Thought Leadership category, what kinds of items are included for promotion?","Thought Leadership includes report launches, authored media articles, and quotes in media stories.","Thought Leadership – Includes report launches, authored media articles, quotes in media stories, etc.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"What kinds of events are highlighted as eligible for promotion, and what does SATT mean in this context?","Eligible events include situations where BCG holds a prominent position at the event. Under SATT, this includes roles such as Knowledge Partnership and shaping the agenda.","Events – SATT (BCG holding a prominent position at the event, such as Knowledge Partnership, shaping the agenda, etc.)",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Which high‑profile speaking opportunities are identified for promotion on BCG India’s channels?,"Platinum speakership opportunities are called out, specifically at eminent platforms such as ET, CII, and Forbes, where BCGers participate as panelists or moderators.","– Platinum speakership opportunities (present at eminent platforms such as ET, CII, Forbes) where  BCGers  are participating as panelists or moderators.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Do podcasts count as eligible for promotion on BCG India’s social channels?,Yes. Participation at new age media platforms such as podcasts is listed among the eligible content for promotion.,– Participation at new age media platforms such as podcasts,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"Are BCG‑hosted client events eligible for promotion, and is there an example?","Yes. BCG‑hosted client events are eligible for promotion, and the policy provides the example of the Wealth Management Summit.",– BCG hosted client events such as Wealth Management Summit,BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,Are external awards and recognitions about BCG promoted on BCG India’s handles?,"Yes. Rewards, recognition, and accolades by prestigious organizations are identified as content that is promoted.","•  Rewards, recognition and accolades  by prestigious organizations",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"How should I report a prominent social media policy violation, controversial post, or fake profile?",You should report these by sending an email to indiamarketing@bcg.com.,"Violation  – Report any prominent social media policy violations, controversial posts or fake profiles by dropping an email to  indiamarketing@bcg.com .",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,What are the potential consequences for violating the social media policy?,"Any policy violation may result in disciplinary action or even legal action, including, but not limited to, termination.","Any policy violation may result in disciplinary (or even legal action) including, but not limited to, termination.",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"Where else can I report perceived violations, and is anonymous reporting possible?","Perceived violations should be reported as soon as they are identified to BCG Legal, HR, or supervisors, or through BCG’s Speak‑up System or Ombuds System. The document notes that both systems allow for full anonymity.","Perceived violations should be reported as soon as identified to BCG Legal, HR, supervisors or through BCG’s  Speak-up System , or use BCG’s  Ombuds System  (both systems allow for full anonymity).",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"If I see a fake BCG profile online, what steps does the policy direct me to take?",First check with HR to confirm that the profile is indeed fake. You can also email IndiaMarketing@bcg.com to verify whether the person previously worked with BCG (alumni).,"What should I do if I see a fake BCG profile online? First, always check with HR to make sure that the profile is indeed fake. You can also drop an email to  IndiaMarketing@bcg.com  to check if they previously worked with BCG or not (alumni).",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,"If I am planning BCG‑related branding or merchandise and am unsure about guidelines, whom should I contact?",Please contact IndiaMarketing@bcg.com for branding guideline questions related to BCG‑related branding or merchandise.,"What should I do if I'm planning any BCG related branding/merchandise, but I'm unsure about branding guidelines? Please contact:  IndiaMarketing@bcg.com .",BCG India – Social Media Policy
Social_Media_Policy_India_2025_gt_v1,BCG India Social Media Policy_Detailed Guide_January2025.pdf,Sonakshi Mathur,What subject line should I use when reporting a social‑media risk related activity?,Use the subject line “Social media risk‑related activity” when emailing IndiaMarketing@bcg.com with the URL and a screenshot of the post.,"send the URL and a screenshot of the post to  IndiaMarketing@bcg.com  with the subject line ""Social media risk-related activity"".",BCG India – Social Media Policy
