Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,What is the primary purpose of BCG’s Global Mobile Device Policy?,The policy is intended to enable the productivity benefits of mobile technology while safeguarding the confidentiality of BCG’s client information and work. It recognizes the rapid evolution of technology and risks and sets expectations so we can realize mobile productivity without compromising our duty to protect confidential data.,"We want to enable the technology that allows us to realize the tremendous productivity potential in the growth of mobile devices while, at the same time, ensuring that how this is done reflects our commitment to protecting the confidentiality of our clients' information and our work with them.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Who does the Mobile Device Policy apply to at BCG?,"The policy applies to all BCG employees and any other approved individuals who use a personally owned mobile device to access BCG systems. It covers mobile phones, smartphones, and tablets used for BCG work.","This Policy applies to all BCG employees, and other approved individuals who use a personally owned mobile device, for example a mobile phone, smartphone, or tablet (a ""Mobile Device"") to access BCG systems.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Does the policy apply outside office hours or only at my normal workplace?,It applies at all times and locations. Your use of a personal mobile device for BCG work is covered both during and outside office hours and regardless of whether you are at your normal place of work.,It applies to use of the Mobile Device both during and outside your office hours and whether or not use of the Mobile Device takes place at your normal place of work.,BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,What does this document cover besides the policy itself?,"The document outlines BCG’s mobile device program, explains how personally owned devices can be used for BCG work, and describes the security protocols that protect confidential BCG and client data. It also includes FAQs that explain nuances of the policy.","This document outlines BCG's mobile device program, our policy for using personally owned Mobile Devices (such as an iPhone or Android) for BCG work, and the security protocols that will be employed to protect confidential BCG and client data (the ""Program""). We have also included some FAQs at the end of this document which address some of the nuances of the policy.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Which other policies should I read alongside the Mobile Device Policy?,"You should read it together with BCG’s Security Policy on Use, Handling of and Access to Client Confidential Information, the Electronic Communication Policy, and the Employee Agreement, which together define how client information must be accessed, handled, and kept confidential.","This program and policy complements our other security policies and must be read in conjunction with the following: 
 Security Policy on Use, Handling of and Access to Client Confidential Information – outlines the policies on access to client information and how to handle it. 
 Electronic Communication Policy – the overarching policy on electronic information. 
 Employee Agreement – the commitment that each us of signed when we joined BCG that describes our obligation of confidentiality to the firm and our clients.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,"If I join the Mobile Device Program, do I need to allow BCG to install software on my device?","Yes. Participation requires permitting BCG to install software that configures the device and applies policy, and may also support the installation of additional applications required in the future.","If you choose to enter the Mobile Device Program, you agree to allow us to install software on your device which will help configure your device and apply policy. This will also assist in installing additional applications that may be required in the future.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,May I bypass BCG’s information security policies or controls on my mobile device?,"No. Just as you would not bypass other BCG security measures, you must not attempt to circumvent any information security policy or control on devices used for BCG work.",You also agree to not bypass any BCG information security policy or control on these devices just as you would not bypass other security measures.,BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Who is responsible for backing up data on my personal device used for BCG work?,"You are responsible for backing up any information on your device, especially your personal data such as messages and photos. BCG may need to wipe a lost or stolen device, which could result in loss of personal data if you have not backed it up.","You agree to be responsible for the back‐up of any information on your device especially your personal information, messages, photos, etc. If your mobile device is lost or stolen, you must alert the IT Service Center immediately. BCG may remotely wipe or reset your device which could result in the loss of personal data that you may not have backed up.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,"What will BCG collect about the apps on my device, and what won’t it collect?","BCG will collect a list of installed applications and some information about those apps, but will not collect data from those applications. It does not collect GPS location, phone usage, SMS messages, or any other information beyond what is detailed in the privacy section.","You understand that we will collect a list of installed applications and some information about those apps but we will not collect data, including personal information, from those applications. We will not collect GPS location, phone usage or SMS messages, or any other information not specifically detailed in the Privacy section below.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Will all device usage costs be reimbursed by BCG?,Not necessarily. Some device usage costs are not reimbursed under this policy. You should refer to your local office policies for the specific details on expense coverage.,You understand that some device usage costs will not be reimbursed by BCG. Please refer to local policies for your office.,BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Could I be asked to surrender my device for legal or internal purposes?,"Yes. You may be required to surrender your device if required by a court order, a regulatory request, or in the context of an internal BCG investigation.","You may be required to surrender your device if required by a court order, regulatory request or in the context of an internal BCG investigation.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Does BCG support every make and model of mobile device for work use?,"No. BCG cannot support all makes and models. The list of supported technology is reviewed and amended as appropriate, and the current list is available via the Service Center.","Unfortunately, we are not able to support all makes and models for use in BCG work. We will, however, review and amend the list of supported technology as appropriate. The current list of supported devices is available by contacting the Service Center.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Is using a personal device for BCG work mandatory?,"No. You are not required to use a personally owned device for BCG work. If you prefer to keep personal and professional use separate, BCG will provide a standard device so you can access email, calendar, and contacts.","You are not required to use your personally owned Mobile Device for BCG work. If you wish to keep your personal information and applications separate from your professional work, we will gladly provide you with a standard device (Basic iPhone) with which you can access your BCG email, calendar, and contacts.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,What expectations do clients have that affect how I use my personal device for BCG work?,"Clients expect BCG to safeguard their information, including the ability to secure data if a device is lost or stolen and to update controls prudently as risks evolve. This means BCG may limit access to client information and restrict applications that could put confidential data at risk.","For example, our clients expect us to be able to safeguard their information in the event that a device is lost or stolen. They also expect that we continually monitor the security landscape and update our controls to at least those that are reasonable and prudent. Some of these controls include limiting the ability to access client information and ensuring that applications do not put confidential information at risk of being lost, changed, or inappropriately shared/transmitted.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,What are the consequences if I enroll in the Program but do not comply with its terms?,"Noncompliance can lead to corrective or disciplinary action up to and including termination of employment. BCG requires you to understand, consent to, and abide by the Program’s terms, consistent with our values and client confidentiality commitments.","Given these expectations and our core values around confidentiality and serving our clients, we require anyone who connects a device to BCG to understand, consent to, and abide by the terms outlined below. While we always expect people to operate in the spirit of the BCG values and principles, we also need to be explicit about the consequences of choosing to enter the Program and then not complying with its terms. In those rare cases, there will be corrective or disciplinary consequences up to and including termination of employment.",BCG Global Mobile Device Policy (version 3 – March 2017)
Mobile_Policy_global_2025_gt_v1,BCG Mobile Policy BCG Mobile Policy-Jul-17.pdf,Rebecca Williams,Can I exit the Mobile Device Program later if I change my mind?,"Yes. You can choose to exit the Program at any time if you no longer want to use your personally owned device for BCG work, and the Service Center can assist you with that process.",You can choose to exit the Program at any time should you decide you no longer want to use your personally owned mobile device for BCG work. The Service Center can help you with this.,BCG Global Mobile Device Policy (version 3 – March 2017)
