Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What is the main purpose of BCG’s Global Data Classification Policy?,"The policy establishes a consistent, global framework for classifying BCG data so that appropriate protection and control levels are assigned to every data asset. It enables the firm to treat data as a strategic asset and to apply controls based on its business value, legal and regulatory obligations, and client commitments.",This Global Data Classification Policy (“policy”) establishes a framework for consistently classifying data globally and allows BCG to assign the appropriate level of protection and control to data or data assets (“data”).,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,Which security standard areas does this policy align to?,"The policy is aligned to ISO/IEC 27001:2022, specifically to A.5.12 on classification of information and A.5.13 on labelling of information.","ISO/IEC 27001:2022: A.5.12 Classification of information, A.5.13 Labelling of information",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,How does the risk statement describe why data classification is critical at BCG?,"The policy is presented as a critical component of BCG’s Global Information Security Program, ensuring protections and controls are applied based on the business value of data and that BCG meets organizational, client, legal, and regulatory obligations in the countries where it operates.","The policy is a critical part of BCG’s Global Information Security Program treating data as strategic asset, applying protections and controls based on its business value and ensuring its compliance with organizational and client requirements, as well as fulfilling legal and/or regulatory requirements affecting the countries where BCG operates.",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What does the Data Classification Framework help BCG do with its data?,"The framework organizes data into relevant categories so it can be used and protected more efficiently, and it makes data easier to locate and retrieve across the firm.",The Data Classification Framework will allow BCG to organize data by relevant categories so that it will be used and protected more efficiently and makes data easier to locate and retrieve.,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,Who does this policy apply to across BCG?,"The policy applies worldwide to BCG employees, managing directors and partners, officers, suppliers, agents, external contractors, and any other person associated with BCG and its owned or controlled subsidiaries and affiliated entities, including Specialty Business Units.","The policy applies worldwide, to all BCG employees, managing directors and partners, officers, suppliers, agents, external contractors, and other persons associated with Boston Consulting Group and its owned or controlled subsidiaries and affiliated entities (“BCG”), including Specialty Business Units (SBUs).",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What is expected of BCG staff under this policy when handling data?,"All BCG staff must classify data using the policy’s defined data classification designations, ensuring consistent classification across the firm.",BCG Staff will be required to classify all data at BCG using the Data Classification Designations set forth in this policy. This will ensure consistent classification across BCG.,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,How does the policy define data classification and on what factors are designations based?,"Data classification organizes data into designations for its efficient and effective use and to align with prescribed standards and controls. Designations are determined by the type of data, its characteristics, and its intended use.","Data Classification is the process of organizing data into designations for its most efficient and effective use and to ensure alignment with prescribed standards and controls. Designations are based on the type, characteristics and intended use of the Data.",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What overall approach does BCG use to assign data classification designations?,"BCG applies a hybrid approach that combines content-based, context-based, and user-based methods to classify data.",BCG will use a hybrid of the 3 methods to apply Data Classification Designations:,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What is content‑based classification and how might it be applied?,"Content‑based classification assesses the subject matter of the data and applies a designation based on what the data contains. It can be applied manually by a data owner or automatically using algorithms, keywords, or phrases.","Content-based classification involves assessing the subject matter of the data being classified and applies classification based on this. This can be manual and applied by the data owner or automated based on algorithms, keywords, or phrases.",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What is context‑based classification and what questions does it answer?,"Context‑based classification looks at the data asset, its location, and its creator as indirect indicators of sensitivity, without requiring user interaction. It addresses how the data will be used and who will access it and sets the classification accordingly.","Context-based classification looks at data assets, location, and creator as indirect indicators of sensitive information, without user interaction. It answers the question of what the data will be used for, who will access it and then applies classification based on this,",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,"When is user‑based classification required, and who is accountable for it?","User‑based classification is used when automatic classification is not feasible. In these cases, end users must classify the data as they create and maintain it, and the data owner and their delegates are ultimately responsible for applying and validating the classification.",User-based classification is required when automatic classification is not feasible and depends on manual Data Classification Designation by end-users while creating and maintaining Data. The data owner and their delegates are ultimately responsible for applying and validating a user-based classification.,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,Who determines the business value of data at BCG and what factors are considered?,"Each data owner or their delegates determine the business value of the data by assessing BCG’s and client requirements, legal and regulatory obligations, criticality, and sensitivity, including the business impact if the data is disclosed, altered, or destroyed.","Each BCG Data Owner or their delegates who generate or handle Data will determine the business value of the Data by assessing BCG’s and our client’s requirements, legal and regulatory requirements, criticality, sensitivity, including the business impact if the data is disclosed, altered, or destroyed",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What are the four general data classification designations used at BCG (outside PRC‑specific rules)?,"Employees classify data as Public, Internal, Confidential, or Restricted, using these designations to match protections to risk.","Employees will classify data into one of four possible classification designations: Public, Internal, Confidential or Restricted",Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,How is ‘Public’ information defined in BCG’s general classification scheme?,Public information can be released to the public without confidentiality or privilege concerns and its unauthorized disclosure has no impact on BCG or its clients.,Public: Data which may be released to the public without any concern for confidentiality or privilege and with no impact to BCG. Unauthorized disclosure leads to: No impact on BCG Group and its clients.,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What does the ‘Internal’ designation mean and what level of impact is associated with disclosure?,"Internal data should not be disclosed outside BCG and its unauthorized disclosure would result in minor or moderate impact to the firm, such as localized media attention or non‑public regulatory criticism.",Internal: Data whose unauthorized disclosure outside BCG would be inappropriate and would result in a minor or moderate impact to BCG. Unauthorized disclosure leads to: Minor/Moderate impact on BCG Group and its clients...,Global Data Classification Policy
Data_Classification_Policy_Global_2025_gt_v1,Global Data Classification Policy-v.2.2.pdf,Rebecca Williams,What does the ‘Confidential’ designation mean and what impact level is associated with it?,"Confidential data must be protected from unauthorized access or disclosure, whether internal or public. Its disclosure can have a major or extreme impact, including significant media attention and potential regulatory issues.",Confidential: Data which must be protected from unauthorized access or disclosure (both public and/or internal) ... whose disclosure has major or extreme impact to BCG.,Global Data Classification Policy
