Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,When do I need to return BCG IT assets if I'm exiting or transferring?,You must return all BCG‑issued IT assets on or before your Last Working Day (LWD). The policy further specifies that these assets must be handed back to the Local IT Team on your LWD before office closing hours. Meeting this deadline ensures that the exit process related to IT can be completed as expected.,"All BCG IT assets must be returned to the IT team on or before the employee’s Last Working Day (LWD).
All BCG IT Assets must be returned to the Local IT Team on your Last Working Day before the oPice closing hours.",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,What happens if I don’t return IT assets on time during an exit or transfer?,"If you fail to return BCG IT assets by the required deadline, your IT Exit Clearance may be delayed. The policy explicitly links timely asset return with the completion of IT exit processing, so returning equipment on time is essential.",Failure to return IT assets on time may result in delaying the IT Exit Clearance.,Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,How do I retrieve personal data from my BCG laptop before leaving?,"To retrieve personal data, you must create a folder named “Personal Data” in your OneDrive and share the link with IT and your Line Manager (LM). That folder is strictly for your personal content and must not include any BCG or client files. Your Line Manager has to verify the contents in advance—specifically at least ten days before your Last Working Day. After your Line Manager’s review is complete, the Local IT team will deliver your personal data to your personal email via a secure OneDrive link on your Last Working Day.","Employees who need to retrieve personal data from their BCG laptop must create a folder named ""Personal Data"" on their OneDrive and share the link with IT and LM, under no circumstances should this folder include any BCG or client files.
The employee’s Line Manager must verify the contents of the ""Personal Data"" folder in advance to the employee’s LWD. This verification ensures that no BCG or client-related data is included in the folder.
The personal data retrieval needs to be verified by your LM at least 10 days prior to your Last working day.
Post reviewing of LM, Local IT team will share the data on your personal Email ID via Secure link.
The Local IT Team would share the One drive link to your personal email id on your Last working day",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,"What should I name the folder for personal data retrieval, and where do I create it?",Create a folder named “Personal Data” in your OneDrive account. This designated folder is the required location for personal data you intend to retrieve as part of the exit process.,"Employees who need to retrieve personal data from their BCG laptop must create a folder named ""Personal Data"" on their OneDrive ...",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,Who needs to receive the OneDrive link to my “Personal Data” folder?,You must share the OneDrive link to your “Personal Data” folder with both IT and your Line Manager. These parties are responsible for verifying and processing the request before the data is shared to your personal email.,… and share the link with IT and LM …,Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,Can I include BCG or client files in the “Personal Data” folder I share with IT?,No. The folder is strictly limited to your personal information. The policy states that under no circumstances should the “Personal Data” folder include any BCG or client files.,… under no circumstances should this folder include any BCG or client files.,Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,"What does my Line Manager need to do with the “Personal Data” folder, and when must this happen?",Your Line Manager must verify the contents of your “Personal Data” folder before your Last Working Day to confirm that no BCG or client data is included. The policy also sets a timing requirement: the verification must occur at least ten days prior to your Last Working Day.,"The employee’s Line Manager must verify the contents of the ""Personal Data"" folder in advance to the employee’s LWD. This verification ensures that no BCG or client-related data is included in the folder.
The personal data retrieval needs to be verified by your LM at least 10 days prior to your Last working day.",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,How and when will my verified personal data be delivered to my personal email?,"Once your Line Manager has completed the review, the Local IT team will share your personal data via a secure link to your personal email. The policy further notes that the OneDrive link will be provided on your Last Working Day.","Post reviewing of LM, Local IT team will share the data on your personal Email ID via Secure link.
The Local IT Team would share the One drive link to your personal email id on your Last working day",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,What should I do with business‑related data like emails and files before I leave?,"Before your Last Working Day, you must ensure that all business‑related data—such as emails, files, and other materials—is properly handed over to your Line Manager or the colleagues they designate. This handover should be completed in advance of your departure.","Prior to the LWD, employees must ensure that all business -related data, including emails, files, and other materials, are properly handed over to their Line Manager or designated colleagues.",Device Return Policy on Exit or Transfer
Device_Return_Policy_gt_v1,Device Return Policy on Exit or Transfer,Vaibhav Srivastava,Who should receive my work in progress and other important documents before my exit?,"You are responsible for ensuring that all work in progress, as well as any important documents and communications, are transferred to your successors or your team members.","Employees are responsible for ensuring that all work in progress, as well as any important documents and communications, are transferred to their successors or team members.",Device Return Policy on Exit or Transfer
