Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,Which external security frameworks does the Open-Source Software Usage and AI Standard align to?,"The standard explicitly aligns to ISO/IEC 27001:2022 control families and NIST SP 800-53 Rev. 5 controls. This alignment frames the OSS and AI guidance within well-recognized industry control catalogs, ensuring that governance, risk, and compliance expectations map back to established security requirements. Teams should consider these references as the authoritative anchors for control interpretation and audits.","• ISO/IEC 27001:2022: A.5.20, A.8.7, A.8.9, A.8.10, A.8.11, A.8.25, A.8.27
• NIST SP 800-53 Rev. 5: RA-5, PL-2, SI-2, S-4, SA-5",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What is the primary purpose of the OSS Usage and AI Standard at BCG?,"The standard provides technical implementation guidance to enable secure and compliant use of open‑source software and OSS‑based AI models and tools across BCG. It translates the Secure Architecture control requirements from the Global Information Security Policy into actionable controls for engineers, case teams, and product teams. Its intent is to balance innovation with legal and security safeguards so that OSS can be adopted responsibly in internal and external solutions.","This Open-Source Software Usage and AI Standard (“standard”) outlines the technical implementation guidance for the secure and compliant use of Open-Source Software (OSS) and OSS-based AI models and tools across BCG. It describes control requirements of Secure Architecture (CSF-09.SA) as defined in the Global Information Security Policy (“GISP”) by translating high-level policy principles into actionable controls for software engineers, case teams, and product development functions across the organization.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What risks does the standard aim to manage when BCG adopts OSS and OSS‑based AI?,"The standard is designed to manage license non‑compliance, security vulnerabilities, and data protection obligations that accompany the use of open‑source technologies. By addressing these domains, it supports legally sound and secure adoption while enabling responsible integration of OSS components and AI models into BCG applications and deliverables.","It defines the controls necessary to manage OSS-related risks—such as license non-compliance, security vulnerabilities, and data protection obligations—while enabling responsible integration of OSS components and AI models into BCG’s applications and deliverables.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What are the stated objectives of the standard regarding OSS approval and protection?,"The standard seeks to define the control requirements for approving and managing OSS within BCG, protect BCG and its clients from legal, security, and operational risks, and verify that BCG is permitted to use OSS for its intended scope in compliance with applicable licenses. It also confirms that BCG can develop and distribute applications and services incorporating OSS, whether commercial or non‑commercial, when desired.","The purpose of this Standard is to:
• Define the control requirements for approving and managing OSS within BCG.
• Protect BCG and its clients from legal, security, and operational risks associated with OSS use.
• Verify that BCG is allowed to use the OSS for its intended scope and is compliant with applicable OSS licenses, while fostering responsible adoption of OSS in internal and external projects.
• Confirm that BCG can use internally, develop, and distribute commercial and non-commercial applications and services that incorporate OSS, if desired.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,Who does the OSS Usage and AI Standard apply to across BCG?,"The standard is mandatory worldwide and applies to all BCG personnel and affiliated parties, including employees, directors, Partners, officers, suppliers, agents, external contractors, service providers, and other associated persons. It applies particularly to those engaged in the design, development, and deployment of software tools or products across BCG entities and SBUs.","The Standard is mandatory and applies worldwide to all employees, directors, Partners, officers, suppliers, agents, external contractors, service providers and other persons associated with The Boston Consulting Group (“BCG”), its owned or controlled subsidiaries and affiliated entities (incl. Specialty Business Units (SBUs)). It is particularly applicable to those involved in the design, development, and/or deployment of software tools or products.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,Which categories of OSS activity does the standard specifically govern within BCG?,"The standard governs three areas: incorporation of OSS in customer‑facing software solutions, incorporation of OSS in BCG’s internal software solutions, and the development of proprietary software tools for public release under OSS licenses.","The standard specifically governs:
• The incorporation of OSS in customer-facing software solutions (BCG Products or BCG Offerings)
• The incorporation of OSS in BCG’s internal software solutions (BCG Tools), and
• The development of proprietary software tools for public release under OSS licenses.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,How does the standard define open‑source software (OSS)?,"The standard defines OSS as software developed privately or collaboratively through informal networks of developers, aimed at making the software and its source code publicly accessible to other developers and end users. It further clarifies that OSS is made available under specific open‑source license agreements that permit use, modification, and distribution of the software and its source code.","Open-source software (OSS) refers to software developed either privately or through collaborative, informal networks of software developers and programmers, with the aim of making the software and its source code publicly accessible to other developers and end users.
OSS is made available under open-source license agreements—including but not limited to GNU GPL, LGPL, BSD, Artistic, Mozilla, MIT, Apache, or other similar OSS licenses—which permit the use, modification, and distribution of the software and its source code.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What is the difference between permissive and restrictive OSS licenses under the standard?,"Permissive licenses such as MIT and Apache allow broad use with minimal restrictions, making them generally easier to integrate. Restrictive licenses such as GPL or AGPL may impose obligations, including the public release of derivative works or source code, which can significantly affect distribution and compliance obligations.","• Permissive licenses (e.g., MIT, Apache) allow broad use with minimal restrictions.
• Restrictive licenses (e.g., GPL, AGPL) may impose obligations such as public release of derivative works or source code.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What limitations should BCG teams expect when using OSS?,"OSS is typically provided “as is,” without warranties for performance, fitness, or quality, and it generally lacks a vendor support model. As a result, unexpected issues may go unaddressed, potentially affecting the confidentiality, integrity, or availability of BCG systems and data, with limited avenues for legal or financial recourse against OSS providers.","Open-Source Software (OSS) is typically distributed ""as is,"" with no warranty for performance, fitness for purpose, or quality. Unlike proprietary software, OSS generally lacks a vendor support model... As a result, unexpected behavior or technical issues may go unaddressed and could compromise the confidentiality, integrity, or availability of BCG systems and data. Furthermore, BCG may have no legal or financial recourse for compensation from OSS providers in the event of such issues.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What are the key risks of using OSS without adequate governance at BCG?,"The primary risks include license‑compliance exposure that can trigger legal disputes or forced disclosure of proprietary code, inadvertent intellectual property violations, security vulnerabilities from outdated or unsupported components, and reputational damage from unmanaged incidents. Effective governance is required to mitigate these exposures before adoption.","Use of OSS without adequate governance and review can expose BCG to the following risks:
• License Compliance Exposure: Failure to comply with OSS license terms can lead to legal disputes, financial penalties, or the forced disclosure of proprietary software...
• Intellectual Property (“IP) Concern: Integrating OSS without due diligence may result in unintentional third‑party IP violations...
• Security Vulnerabilities: OSS can sometimes contain vulnerabilities or outdated code...
• Reputational Impact: Failure to manage OSS responsibly could result in incidents that damage BCG’s reputation...",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What client‑specific OSS considerations should case teams be aware of?,"Many clients restrict the use of OSS in their environments and may require BCG to comply with their policies, understand BCG’s position on OSS, or be notified before OSS is included in deliverables. Case teams must verify and honor these client requirements when planning and delivering solutions.","In addition, many BCG clients have policies that restrict the use of OSS within their environments. Clients may require BCG to comply with these policies, understand BCG’s position on the use of OSS, or receive prior notice before OSS is incorporated into deliverables.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What is the Stoplight OSS License chart and how should teams use it?,"The Stoplight OSS License chart classifies OSS licenses as green (minimal risk), yellow (medium risk), or red (high risk) based on compliance and operational impact. BCG personnel must consult this chart to identify the licenses associated with each component and follow its guidance. Components designated as high‑risk cannot proceed without prior approval from Legal or Information Security using the contacts in the policy.","Consult the BCG Stoplight Open-Source License Chart (“Stoplight OSS License chart”), which classifies OSS licenses as green (minimal risk), yellow (medium risk), or red (high risk) based on their compliance and operational impact.
• BCG personnel must follow the guidance outlined in the Stoplight OSS License chart. If any OSS is classified as a red/high-risk license, developers must not proceed without prior approval from Legal or Information Security using the contact information provided in the Appendix I: Contact List.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,Do legal and compliance obligations still apply when OSS is used only for internal tools?,"Yes. Even for internal‑only use, teams must meet legal obligations including any copyleft requirements, proper attribution, and the appropriate data‑security and privacy controls. Internal use does not exempt BCG from license compliance or privacy expectations.","Even when OSS is used solely for internal purposes, BCG personnel must comply with all associated legal obligations, including:
• Copyleft licensing requirements
• Proper attribution
• Data security and privacy controls",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,"What governance applies to AI models used in internal BCG tools, especially when sensitive data is involved?","AI models—including OSS‑based models—that are trained or fine‑tuned on sensitive or proprietary BCG data must be governed to prevent exposure of intellectual property and to avoid data‑protection violations. BCG enforces strict governance to ensure regulatory compliance, data and system security, and responsible AI stewardship for internal AI use.","The use of AI models—including OSS-based AI models—that are trained or fine-tuned on sensitive or proprietary BCG data must be carefully governed to:
• Prevent unintended exposure of intellectual property
• Avoid violations of data protection or regulatory obligations
BCG enforces strict governance over the internal use of AI models to ensure:
• Regulatory compliance
• Security of data and systems
• Responsible AI development and stewardship",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,How must teams classify license risk before integrating OSS into an internal BCG tool?,"Teams must use BCG’s Open‑Source Software License Chart to classify the component’s license risk using the green, yellow, and red system, and then follow the guidance produced by that assessment. This step is mandatory prior to integration.","Before integrating any OSS component into a BCG Tool:
• Teams must use the Open-Source Software License Chart [Link] to classify the OSS license risk based on BCG’s low (green), medium (yellow), and high (red) risk system.
• Teams must follow all guidance provided by the assessment, in accordance with the standards outlined in the section “OSS at BCG.”",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What software composition and compliance scanning may BCG perform on internal software?,"Information Security may perform software composition analysis to detect security vulnerabilities, outdated or unsupported dependencies, and license‑compliance issues. Teams should anticipate these scans as part of the governance over OSS components in internal tools.","BCG Information Security may perform software composition analysis (SCA) on internal software to detect:
• Security vulnerabilities
• Outdated or unsupported dependencies
• License compliance issues",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What should teams do if an OSS component used internally becomes unmaintained or is flagged for security concerns?,"Teams must assess the risks and evaluate alternatives, which can include replacing the component or creating and maintaining an internal fork where appropriate. Action should be taken to mitigate stability and security impact on internal systems.","If an OSS component becomes unmaintained or is flagged for security concerns, teams are required to:
• Assess the associated risks
• Evaluate and implement alternative solutions or internal forks, where appropriate",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,"What access control requirements apply when OSS is integrated into collaborative tools, automation scripts, or AI assistants?","Teams must implement security permissions to prevent unauthorized access whenever OSS is embedded in collaborative tooling, automation, or AI assistants. These access controls are part of the security and integration requirements for internal tools.","Security permissions must be implemented to prevent unauthorized access when OSS is integrated into:
• Collaborative tools
• Automation scripts
• AI-based assistants",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,How should teams manage dependency tracking and compatibility for OSS in internal tools?,Teams must track all OSS dependencies and verify compatibility with BCG’s internal software environment to avoid operational conflicts or degradation. Proactive dependency and compatibility management are required to ensure systems remain stable.,"All OSS dependencies must be tracked, and
• Teams must verify compatibility with BCG’s internal software environment to prevent operational conflicts or degradation.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What is the policy on processing PII or confidential business data in internal tools that incorporate OSS?,Internal tools that incorporate OSS must not process personally identifiable information or confidential business data without explicit approval from the BCG Data Protection Office. This prohibition protects both BCG and client data and ensures necessary privacy reviews occur before such processing is allowed.,"BCG Tools incorporating OSS must not process personally identifiable information (PII) or confidential business data without explicit approval from BCG’s Data Protection Office (DPO, DataProtectionOffice@bcg.com).",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,Which datasets are permitted for training AI models used in internal BCG tools?,"AI models in internal tools may only be trained on approved datasets, de‑identified data, or synthetic data. These restrictions reduce the risk of exposing sensitive information and help maintain compliance with data‑protection obligations.","AI models used in internal tools must only be trained on:
• Approved datasets
• De-identified data, or
• Synthetic data",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,When must teams consult the DPO and Legal for internal tools that use OSS?,"If OSS components interface with external APIs or third‑party analytics platforms, teams must consult the Data Protection Office and Legal to assess and mitigate potential data‑privacy risks arising from those integrations.","If OSS components are incorporated into BCG Tools that interface with external APIs or third-party analytics platforms, teams must consult the DPO and Legal to assess and mitigate potential data privacy risks.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What Responsible AI steps are required before using an OSS AI model in an internal tool?,"Teams must contact the Responsible AI Team to request a bias and fairness assessment and ensure alignment with BCG’s Responsible AI Policy. OSS AI models must offer explainability and transparency, especially when their outputs influence decisions, impact performance metrics, or offer strategic recommendations.","Before incorporating an OSS AI model into a BCG Tool, teams must contact the Responsible AI Team (RAI@bcg.com) to request a bias and fairness assessment, ensuring alignment with BCG’s Responsible AI Policy.
• OSS AI models must provide explainability and transparency, especially if they:
 o Influence internal user decision-making
 o Impact employee performance metrics
 o Provide strategic recommendations or insights",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What documentation is required regarding data and model provenance for OSS AI models used internally?,"Engineering teams must document the provenance of OSS AI models and their training datasets and avoid datasets that contain copyrighted or restricted material, exhibit significant bias, or were collected contrary to BCG’s web‑scraping guidance. This provenance record is central to transparency and compliant AI development.","• Engineering teams must document the provenance of OSS AI models and their training datasets.
• Teams must avoid using datasets that:
 o Contain copyrighted or legally restricted material
 o Exhibit significant bias
 o Were collected in violation of BCG’s Web Scraping documentation [linked under section 9 Resources]",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What security assurance is required for OSS AI models in internal tools?,"Teams must identify and mitigate AI‑specific security risks such as model poisoning and adversarial vulnerabilities and track model updates, repository maintenance status, and known issues to sustain reliability. These controls help prevent integrity and availability issues in AI‑enabled solutions.","• Security risks associated with OSS AI models—such as model poisoning or adversarial vulnerabilities—must be identified and mitigated before deployment.
• Teams should also track model updates, community maintenance status, and any known issues within OSS AI model repositories to ensure continued reliability.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,"What licensing obligations must engineering teams check when using OSS AI models internally, and who can help?","Teams are responsible for reviewing all license terms for AI models incorporated into BCG tools and confirming that obligations such as copyleft do not conflict with proprietary BCG software or distribution needs. Because license terms may differ for individual versus enterprise use, teams should consult the OSS Management Team for license assessment support.","• Engineering teams are responsible for reviewing and complying with all OSS license terms applicable to AI models incorporated into BCG Tools.
• Teams must ensure that licensing obligations—such as copyleft clauses—do not conflict with proprietary BCG software or its distribution requirements.
• This is especially important, as OSS AI models may carry different license terms for individual versus enterprise use.
• For support with OSS AI license assessment, contact the OSS Management Team at OSSManagementTeam@bcg.com.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What is BCG’s overall stance on using OSS in client‑facing products and deliverables?,"BCG recognizes the value of OSS for efficient development but requires strict compliance measures, security audits, and contractual safeguards to mitigate risks such as copyleft contamination, privacy violations, and biased model outputs. Governance must ensure legal compliance, security, and alignment with responsible AI principles, and clients must be informed of any OSS components and relevant licensing information in their deliverables.","Open-Source Software (OSS) offers powerful tools for efficient and cost-effective development in client casework but also introduces legal and compliance risks that must be effectively managed... Proper governance ensures that BCG Products incorporating OSS remain legally compliant, secure, and aligned with responsible AI principles. Clients must be informed of any OSS components included in their deliverables, along with all relevant licensing information.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,What source and license risk reviews are required before finalizing a client‑facing product that includes OSS?,"Teams must obtain OSS components from reputable sources, review the licenses using the Stoplight OSS License chart, conduct a license review before incorporation, and use SCA tools such as Veracode to identify vulnerabilities and track license obligations. Case teams carry the primary responsibility for understanding these risks and compliance commitments.","• OSS components must be obtained from reputable sources.
• Case teams are primarily responsible for understanding the risks and compliance obligations associated with the OSS licenses.
• Before finalizing any BCG Product or client deliverable incorporating OSS:
 o Teams must review the applicable licenses using the Stoplight OSS License chart...
 o A license review must be conducted prior to incorporation.
 o Software Composition Analysis (SCA) tools, such as Veracode, may be used to identify vulnerabilities and track license obligations.",Open-Source Software Usage and AI Standard
softwareusage_policy_global_2025_gt_v1,Open-Source Software Usage and AI Standard-v.1.1.pdf,Rebecca Williams,How should OSS embedded by third‑party vendors be handled on a case?,"If third‑party vendors are involved, any OSS embedded in their deliverables must be vetted for license compatibility and compliance risks. The case team is responsible for ensuring that vendor‑supplied components do not introduce license or security conflicts for the client deliverable.","• If a case involves third-party vendors, any embedded OSS in their deliverables must also be vetted for license compatibility and compliance risks.",Open-Source Software Usage and AI Standard
