Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,What hardware comes in the standard IT enablement kit for employees in India?,"The standard IT enablement kit includes a laptop (Windows or Mac), a compatible laptop charger, a wired headset for secure and high‑quality audio, a privacy screen to protect confidential information in public or shared spaces, a data SIM card when required for mobile access, and a Mi‑Fi dongle for Mac users to ensure consistent connectivity. Mobile phones are not provided to users in India under this policy.","As part of the IT enablement kit, the following standard hardware will be provided to all end users to ensure secure and efficient operations:
Laptop (Windows or Mac) – Users may choose based on work requirements.
Laptop Charger – Compatible with the issued laptop.
Wired Headset – For secure and high-quality audio communications.
Privacy Screen – To safeguard confidential information during work in public or shared spaces.
Data SIM Card – For mobile data access when required.
Mi-Fi Dongle (for Mac users) – Provided to ensure consistent connectivity.
*Mobile Phones are not provided to users in India.",India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,"Can I choose between a Windows and a Mac laptop, and what guides that choice?","Yes. You may choose either a Windows or a Mac laptop, and the selection should be based on your work requirements as recognized by the policy.",Laptop (Windows or Mac) – Users may choose based on work requirements.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,Is a laptop charger included with my issued laptop?,Yes. A laptop charger that is compatible with the issued laptop is part of the standard kit and is provided to every user.,Laptop Charger – Compatible with the issued laptop.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,"Do we receive a wired headset, and why is it specified as wired?","Yes. The policy provides a wired headset to support secure and high‑quality audio communications, which aligns with BCG’s emphasis on secure collaboration.",Wired Headset – For secure and high-quality audio communications.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,Is a privacy screen provided and what is it for?,"Yes. A privacy screen is included to safeguard confidential information, especially when you are working in public or shared spaces.",Privacy Screen – To safeguard confidential information during work in public or shared spaces.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,Will I be issued a data SIM card by default?,Not by default. A data SIM card is provided when required to enable mobile data access for your work.,Data SIM Card – For mobile data access when required.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,"As a Mac user, am I eligible for a Mi‑Fi dongle and why?",Yes. Mac users are provided a Mi‑Fi dongle to ensure consistent connectivity as part of the standard enablement kit.,Mi-Fi Dongle (for Mac users) – Provided to ensure consistent connectivity.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,Are corporate mobile phones issued to users in India as part of this policy?,No. The policy explicitly states that mobile phones are not provided to users in India.,*Mobile Phones are not provided to users in India.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,Can case teams request additional hardware for project needs?,"Yes. Additional hardware can be provided to case teams on request, provided the need is driven by project requirements.","Additional hardware may be provided to case teams on request, based on project needs:",India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,What kinds of audio equipment can a case team request for collaboration?,Case teams may request portable speakers with a microphone to support collaborative discussions and meetings when project needs call for it.,Portable Speakers with Microphone – For collaborative discussions and meetings.,India - Hardware Provisioning Policy
hardware_policy_india_2025_gt_v1,India - Hardware Provisioning Policy.pdf,Pravin Jha,"Are monitors available for extended displays, and why might they be approved?",Yes. Monitors may be provided on request to support extended display needs and improve productivity for case work.,Monitors – To support extended display needs and productivity.,India - Hardware Provisioning Policy
