Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,What is the training document and when was it issued?,"The document is BCG’s training materials for the “Co‑Publishing with External Partners Policy,” dated May 2023. It serves as the reference for how BCG teams should plan, approve, and publish co‑branded content with external partners.","May 2023 
Training Materials 
Co-Publishing with External Partners Policy",May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,"In India, what are the end‑to‑end publishing steps, lead times, and owners for a co‑branded report?","In India, the process begins with project initiation by the case team, who share a draft, executive summary, and project details with the India marketing team and allow approximately one month of lead time for te entire process. Next, PA Node approval is required, where the case team obtains concept approval from the PAL/RPAL with a one‑week lead time. Legal approval then follows; the case team shares the engagement contract with BCG Legal (Alyssa Rosenbaum and Courtney Fears) and plans for a two‑week lead time. Editorial approval is coordinated by the marketing team via an email to Co‑PublishingLT@bcg.com with two weeks of lead time. Finally, the marketing team publishes the report on BCG.com with about one week of lead time.
A few of the above can be executed in parallel to accelerate timelines ","India system:  Publishing Requirements, Timelines & Ownership  
Project Initiation:  Share the report draft/executive summary/ project details with the India marketing team Lead time: 1 month Owner - Case Team    
PA Node approval:    Take project concept approval from PAL/RPAL   Lead time- 1 week   Owner - Case Team   
Legal approval:    Share the engagement contract with the Legal team Alyssa Rosenbaum ( Rosenbaum.Alyssa@bcg.com )  Courtney Fears ( Fears.Courtney@bcg.com )  Lead time- 2 weeks Owner - Case Team   
Editorial Approval:    Write an email to  Co-PublishingLT@bcg.com    Lead time- 2 weeks Owner- Marketing Team 
Publish the report:     Publish on  BCG.com      Lead time- 1 week Owner- Marketing Team",May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,"At project initiation in India, what should the case team provide and how much lead time is needed?","At the project initiation stage in India, the case team should share the report draft, executive summary, and project details with the India marketing team. The policy advises planning for one month of lead time from the start of this step.",Project Initiation:  Share the report draft/executive summary/ project details with the India marketing team Lead time: 1 month Owner - Case Team,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,What is the PA Node approval step and what is the expected timing?,PA Node approval requires the case team to obtain project concept approval from the PAL/RPAL. The guidance indicates a one‑week lead time for this approval.,PA Node approval:    Take project concept approval from PAL/RPAL   Lead time- 1 week   Owner - Case Team,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,What does Legal approval entail and who are the listed contacts?,"Legal approval entails sharing the engagement contract with BCG Legal. The contacts listed are Alyssa Rosenbaum (Rosenbaum.Alyssa@bcg.com) and Courtney Fears (Fears.Courtney@bcg.com). The policy advises planning two weeks of lead time for this step, with the case team as owner.",Legal approval:    Share the engagement contract with the Legal team Alyssa Rosenbaum ( Rosenbaum.Alyssa@bcg.com )  Courtney Fears ( Fears.Courtney@bcg.com )  Lead time- 2 weeks Owner - Case Team,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,How is editorial approval requested and what timing should be planned?,Editorial approval is requested by sending an email to Co‑PublishingLT@bcg.com. The marketing team owns this step and should plan approximately two weeks of lead time for the editorial review.,Editorial Approval:    Write an email to  Co-PublishingLT@bcg.com    Lead time- 2 weeks Owner- Marketing Team,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,Who owns publication of the report and where is it published?,The marketing team owns the final publication step. The report is published on BCG.com and the guidance suggests allowing about one week of lead time to complete this stage.,Publish the report:     Publish on  BCG.com      Lead time- 1 week Owner- Marketing Team,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,What benefits does co‑publishing offer according to the policy?,"Co‑publishing is framed as a source of significant value. Joint research and intellectual collaboration can broaden and enrich BCG’s perspectives, strengthen the relevance of BCG’s research, and use the combined strength of BCG‑plus‑partner brands to reach broader audiences.","Co-publishing can be a source of great value 
Joint research and intellectual collaboration can : Allow us to develop wider and more richly informed perspectives   Strengthen  BCG’s research relevance The combined power of   BCG-plus-partner brands   can help us reach broader audiences",May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,What risks does the policy highlight when working or associating with clients or third parties on co‑publications?,"The policy cautions that partnering can increase the likelihood that content is influenced by the partner and that co‑authoring signals a close affiliation or endorsement. It notes the potential for heightened brand or reputational damage, especially in the current geopolitical environment. It also emphasizes that co‑publications persist in perpetuity, so teams must weigh both current and future risks.",But working and associating with clients or 3rd parties introduces new risks:   Likelihood of  content being influenced  by the partner Co- authoring   signals  close  affiliation   and /or  endorsement   and   exposes  BCG  to   higher  brand or  reputational   damage   especially  in  current   geopolitical   environment  Co- publications  are  available  in   perpetuity ;  we  need   to   consider   current   and   potential   future   risks   too,May 2023 — Training Materials: Co-Publishing with External Partners Policy
publishing_policy_global_2023_gt_v1,Co-publishing_with_External_Partners_Policy.pdf,Mridushmita Bose,"What collaboration models between a partner and BCG are described, and how do control and publishing rights differ?","The policy outlines a spectrum from partner‑branded reports (with or without naming BCG) through co‑branded reports with either partner or BCG overall look and feel. It pairs these with governance on editorial control and publishing rights: At one end, the partner has full editorial control and determines publishing timing and nature; BCG has citation approval rights or co‑controls content and aligns on publishing; and at the BCG‑led end, BCG has editorial control while consulting the partner, with aligned publishing plans.","Options for collaboration between BCG and Partner on reports 
Partner branding, BCG not disclosed as contributing party ​ 
Partner branding, BCG named as source of specific  analyses or in intro as contributor, disclaimer that BCG does not endorse content  
Partner/BCG co-branding (e.g., on front page), report has overall Partner look & feel 
Partner/BCG co-branding, report has overall BCG look & feel, disclosure of Partner-commissioned project 
Partner branded report,  BCG not named  * out of scope of this policy   
Partner branded report, BCG named contributor 
Co-branded report  With Partner look & feel 
Co-branded report with BCG look & feel  
Partner/BCG visibility 
Editorial control 
Publishing rights 
1 
2 
3 
4 
Partner has full editorial control,  
Partner has full editorial control, BCG has the right to  approve citations prior to publication 
Partner and BCG co-control content of report 
BCG has editorial control content of report and will consult with Partner prior to publishing 
Partner determines timing and nature of publishing 
Partner determines timing and nature of publishing 
Partner/BCG align on timing and format of publishing 
Partner/BCG align on timing and format of publishing",May 2023 — Training Materials: Co-Publishing with External Partners Policy
