Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,What is the primary purpose of BCG’s Global Data Protection Policy?,"The policy sets out the safeguards and procedures BCG uses to protect, handle, collect, process, retain, and store Personal Data that BCG owns, stores, maintains, or otherwise accesses. It also explains the broader framework of BCG global policies that support this purpose, ensuring our practices are consistent, controlled, and compliant across the firm.","This Policy defines effective safeguards and procedures for protecting, handling, collecting, processing, retaining, and storing “Personal Data” that is owned, stored, maintained, or otherwise accessed by BCG. This Policy also articulates the framework of other BCG Global Policies designed to accomplish this purpose.",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,How does the policy define Personal Data?,"Personal Data is any information about an identifiable individual. It covers data that directly identifies someone—such as a name, identification number, location data, or an online identifier—as well as combinations of attributes that describe aspects of a person’s identity, including physical, physiological, genetic, mental, economic, cultural, or social identity.","“Personal Data” is any information relating to an individual who can be identified by reference to a direct identifier (such as a name, an identification number, location data, or an online identifier) or by a combination of attributes describing the physical, physiological, genetic, mental, economic, cultural, or social identity of the individual.",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,Which data protection laws does BCG commit to comply with under this policy?,"BCG commits to comply with applicable data protection laws in the countries where it operates. The policy specifically references the EU General Data Protection Regulation, China’s Cybersecurity and Data Protection Law and the Personal Information Protection Law, and California’s Consumer Privacy Act as amended by the California Privacy Rights Act. These are examples and the commitment is not limited to these statutes.","This Policy ensures that BCG: i. complies with data protection laws affecting the countries where BCG operates, including, but not limited to, the EU General Data Protection Regulation (“GDPR”), the China Cybersecurity and Data Protection Law and Personal Information Protection Law (“PIPL”), the California Consumer Privacy Act, as amended by the California Privacy Rights Act (“CPRA”),",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,Who is covered by the Global Data Protection Policy?,"The policy applies worldwide to everyone associated with BCG, including employees, directors, Partners, officers, suppliers, agents, external contractors, and any other associated persons across BCG’s owned or controlled subsidiaries and affiliated entities, including Specialty Business Units.","This Global Data Protection Policy (“policy”) applies worldwide to all employees, directors, Partners, officers, suppliers, agents, external contractors, and other persons associated with The Boston Consulting Group (“BCG”), its owned or controlled subsidiaries and affiliated entities (including Specialty Business Units (SBUs)).",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,Which external security frameworks does the policy align with?,"The policy is aligned with industry standards, specifically ISO/IEC 27001 control A.18.1.4 and the Information Security Forum’s Standard of Good Practice (SOGP), including IM1.2 Information Privacy and IM2 Information Protection.","Security Framework Alignment • ISO/IEC 27001: A.18.1.4 • ISF SOGP: IM1.2 Information Privacy, IM2 Information Protection",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,"What does the principle of lawfulness, fairness, and transparency require at BCG?","It requires that all Personal Data processed by BCG is handled in a lawful manner, fairly toward the individual, and with transparency so individuals understand how their data is used.","1.1.1 Lawfulness, fairness, and transparency - Personal Data will be processed lawfully, fairly, and transparently.",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,How does BCG apply the purpose limitation principle?,"BCG collects Personal Data only for specified and legitimate purposes and processes it strictly to fulfill those purposes, avoiding use that is incompatible with the original intent.",1.1.2 Purpose limitation - Personal Data will only be collected for specified and legitimate purposes and will only be processed to satisfy those purposes.,Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,What is BCG’s approach to data minimization?,"BCG limits Personal Data to what is relevant and not excessive for the stated purpose, and when feasible and appropriate, deletes or anonymizes data based on business needs and associated risks.",1.1.3 Data minimization – The Personal Data collected will be relevant and not excessive in relation to the purposes for which it is collected and processed. Personal Data will be deleted or rendered anonymous when feasible and appropriate based on BCG’s needs and the risks associated with its intended use.,Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,What does the accuracy principle mean in practice?,BCG keeps Personal Data up to date as needed and takes reasonable steps without unreasonable delay to correct or delete data it knows to be inaccurate or incomplete.,"1.1.4 Accuracy – Personal Data kept up to date as needed and, without unreasonable delay, BCG will take reasonable steps to correct or delete Personal Data which it becomes aware is inaccurate or incomplete.",Global Data Protection Policy (v1.3)
DataProtection_Policy_global_2025_gt_v1,Global Data Protection Policy-v.1.3.pdf,Rebecca Williams,How long does BCG keep Personal Data under the storage limitation principle?,"BCG keeps Personal Data only as long as necessary for the purposes for which it was collected, consistent with legal and business needs.",1.1.5 Storage limitation – Personal Data will be kept for only if necessary for the purposes for which the Personal Data was collected.,Global Data Protection Policy (v1.3)
