Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,"What does the India IT Mobility Policy cover, and what is its purpose?","The India IT Mobility Policy sets out the process for handling BCG laptops, tech setup assets, and IT accessories when employees move between India and other BCG systems, whether for a temporary assignment or a permanent relocation. It is designed to ensure compliance, enable proper asset tracking, and provide clarity to both employees and IT on the actions required before, during, and after a transfer.","This policy defines the process for handling BCG laptops, tech setup assets, and IT accessories when employees transfer between India and other BCG systems, either temporarily or permanently. It ensures compliance, proper asset tracking, and clarity for both employees and IT.",India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,I’m going on a temporary transfer of less than 12 months—can I carry my India‑issued laptop to the host country?,"Yes. For temporary transfers of under 12 months, employees are permitted to carry their India‑issued laptop to the host country. No additional laptop is issued for this situation under the policy.",Employees may carry their India-issued laptop to the host country.,India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,"If my India‑issued laptop develops a technical problem while I’m on a temporary transfer, what should I do with the device?","If your India‑issued laptop encounters technical issues during a temporary transfer, you must bring the faulty device back and return it to India Local IT when you return. The host country is not expected to take possession of the device during the temporary assignment.","In case of technical issues, the faulty laptop must be brought back and returned to India Local IT upon return.",India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,My temporary transfer later becomes permanent. What is required regarding my laptop?,"If a temporary transfer changes to a permanent move, you must return your India‑issued laptop to India Local IT. The policy also states that if the laptop is not returned, the laptop’s value plus applicable taxes will be recovered from your final settlement.","If the transfer type changes to permanent, the laptop must be returned to India Local IT. Failure to return the laptop will result in recovery of the laptop value + taxes from final settlement.",India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,What are the financial consequences if I do not return my laptop when required after a transfer change?,If you fail to return your laptop when the policy requires it—such as when a temporary transfer converts to a permanent one—the full laptop value plus taxes will be recovered from your final settlement.,Failure to return the laptop will result in recovery of the laptop value + taxes from final settlement.,India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,Who is responsible for notifying IT when an employee’s transfer type changes?,Human Resources (HR) is responsible for informing India Local IT when a transfer type changes. This ensures IT can take the necessary asset actions promptly.,HR must inform India Local IT if transfer type changes.,India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,"On a temporary transfer, can I keep tech setup assets or accessories such as a display converter or headset?","Yes. During temporary transfers, employees may retain tech setup assets and accessories, with the explicit exception of mobile connectivity items. SIM cards and mobile Wi‑Fi (MiFi) devices are handled separately under the policy.",Tech setup assets and accessories (except SIM cards and MiFi devices) may be retained.,India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,Do I need to return my Subscriber Identity Module (SIM) card and mobile Wi‑Fi (MiFi) device before departing on a temporary transfer?,Yes. SIM cards and MiFi devices must be returned before departure when you are on a temporary transfer. These items are not eligible for retention.,SIM cards and MiFi devices must be returned before departure.,India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,"If a temporary transfer later becomes permanent, what is the rule for tech setup items and accessories?","If a temporary transfer later changes to a permanent move, all tech setup items must be returned. Retention is only permitted if you pay the depreciated value plus taxes.","If transfer type later changes to permanent, all tech setup items must be returned or retained by paying the depreciated value + taxes.",India – IT Mobility Policy
It_mobility_policy_india_2025_gt_v1,India IT Mobility Policy.pdf,Pravin Jha,"For a long‑term transfer of more than 12 months, what must I do with my India‑issued laptop before I leave?","Before departing on a long‑term transfer, you must return your India‑issued laptop to India Local IT. This ensures the proper hand‑off of equipment prior to issuance in the host country.",Employees must return their laptop to India Local IT before leaving.,India – IT Mobility Policy
