Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What is the purpose of BCG’s Global User Passwords and PINs Policy and how does it align with external frameworks?,"The policy establishes mandatory rules for how BCG users create, handle, and maintain passwords and PINs across laptops, mobile devices, networks, and applications. It is explicitly aligned with ISO/IEC 27001 control A.9 and BCG’s Global Information Security Policy to ensure consistent controls across the firm.","Security Policy and Framework Alignment
• ISO/IEC 27001: A.9
• Global Information Security Policy

Description
In general, The Boston Consulting Group (“BCG”) is committed to protecting the information of our clients and staff. We endeavor, always, to provide reasonable and prudent access to our information systems.
Passwords and PINs are the first line of defense when users access BCG´s systems, whether laptop, mobile, the network, applications, or any other system.
This document sets mandatory rules:",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Who is covered by this policy—does it include contractors and Specialty Business Units (SBUs)?,"The policy applies to all BCG users worldwide, covering individuals with standard access as well as those requiring privileged access. It explicitly includes employees, directors, Partners, officers, suppliers, agents, external contractors, and other persons associated with BCG and its owned or controlled subsidiaries and affiliated entities, including Specialty Business Units (SBUs).","Scope
This Global BCG User Passwords and PINs Policy (“policy”) applies to all BCG users1 worldwide, including those with standard access and those requiring privileged access to systems and technologies. Service owners are accountable for ensuring complying with this policy and must implement necessary controls, enforce password and PIN security measures, and ensure that systems under their management adhere to the policy requirements.
1 BCG Users refers to all employees, directors, Partners, officers, suppliers, agents, external contractors, and other persons associated with The Boston Consulting Group (“BCG”), its owned or controlled subsidiaries and affiliated entities, including Specialty Business Units (SBUs).",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What are service owners accountable for under this policy?,"Service owners are responsible for ensuring compliance with this policy across the systems they manage. They must implement necessary controls, enforce password and PIN security measures, and confirm that those systems adhere to all policy requirements.","Service owners are accountable for ensuring complying with this policy and must implement necessary controls, enforce password and PIN security measures, and ensure that systems under their management adhere to the policy requirements.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What risk does this policy address and why are strong passwords and PINs essential at BCG?,"The policy addresses the security risk of unauthorized access to BCG’s assets and data. It emphasizes that end‑user and system passwords and PINs protect the confidentiality, integrity, and availability of information and are primary targets for hacking and credential theft, making compliance with the policy essential.","Risk Statement
Unauthorized access to BCG’s assets and data poses a significant security risk. End-user and information system passwords, as well as PINs, serve as critical safeguards for protecting the confidentiality, integrity, and availability of BCG’s information and systems. Due to their value, they are a primary target for cyber threats, including hacking and credential theft. To mitigate these risks, this policy establishes the requirements for the secure creation, handling, and maintenance of passwords and PINs. Compliance with this Policy is essential to reducing the risk of unauthorized access and ensuring the security of BCG’s information assets.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What is the minimum length for a standard BCG user password?,"User passwords must be at least 12 characters long, and the recommended length is 16 characters.",1. Minimum password length for user passwords is 12 characters (recommended 16 characters).,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Do default or vendor‑supplied passwords need to be changed when first used?,"Yes. Any default password—whether factory‑set, set by IT operations, or supplied by a vendor—must be changed at the first or next login.","2. All default passwords, e.g., factory-set passwords, IT operations set, or vendor supplied, must be changed on first or next login.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,"Can I share my BCG user or administrative password with anyone, including IT staff?","No. Users must never share the passwords for their BCG user or BCG administrative accounts with anyone inside or outside BCG, including IT.","3. Users must never share their passwords for their BCG user or BCG administrative account with anyone within or outside BCG, not even with IT.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Is it ever acceptable to divulge my Windows password to another person?,No. Disclosing a Windows password to anyone is expressly prohibited.,4. Divulging your Windows password to anyone is expressly prohibited.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,May I reuse a password from another website for a BCG system or application?,"No. System and application passwords you set must be unique and must not be the same as or similar to credentials used on any other site, especially external, non‑BCG websites.","5. All systems and application passwords must be unique when set by the user. Do not use a password that is the same or like the one you use on any other website, specifically when setting a password on an external, not BCG owned web site.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What complexity requirements apply to BCG domain account passwords?,"BCG domain passwords must contain at least three of four character classes: lowercase letters, uppercase letters, numbers, and special characters such as @, #, $, %, ^, and others shown in the policy.","6. At all times, your BCG domain accounts must meet the following password complexity:
• Contains at least three of the four following character classes:
o Lower case characters 
o Upper case characters
o Numbers
o “Special” characters (e.g., @#$%^&*()_+|~-=\`{}[]:"";'<>/ etc.)",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Are predictable sequences or personal details allowed in passwords?,"No. Passwords must not use predictable keystroke sequences or easily guessable details such as birthdays, addresses, names of family or friends, or parts of phone numbers.","7. Passwords may not be comprised of predictable keystroke sequences or be easily guessable. Avoid birthdays, addresses, names of family, friends, portions of telephone numbers, etc.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What should I do immediately if I believe my password has been compromised?,Any suspected password compromise requires you to change the password immediately.,8. Any password compromise must lead to an immediate change of the password.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Does BCG use technology to enforce secure password creation and where can I find guidance?,"Yes. BCG has implemented technology to ensure passwords are created securely, and users can consult the Information Security Handbook for detailed password‑creation guidance.","9. To protect users from password related cyber-attack BCG has implemented a technology to ensure that any password get created in a secure manner.
For more details about Password creation guidance please look at the “Information Security Handbook”",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,After how long will my computer automatically lock due to inactivity?,"Laptops, desktops, servers, and other administrative consoles must automatically lock after 15 minutes of inactivity.",10. All laptops and desktop as well as server or other administrative consoles must automatically lock after 15 minutes of inactivity.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,How does BCG define privileged access and a privileged user?,"Privileged access means having higher‑than‑normal rights such as root, administrator, or service account access. A privileged user is anyone with greater access to BCG’s information systems than standard users.","Privileged access means computer access with higher access rights, generally root access, administrator access, or access to service accounts. A privileged user is a user with higher access to BCG´s information systems than other users.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What is the minimum password length for Administrative Accounts (ADM) with privileged access?,Administrative Accounts (ADM) with privileged access must have passwords of at least 30 characters.,11. Minimum password length for Administrative Accounts (ADM) with privileged access is 30 characters.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,What is the minimum password length for privileged Service Accounts (SRV)?,Service Accounts (SRV) with privileged access must have passwords of at least 30 characters.,12. Minimum password length for Service Accounts (SRV) with privileged access is 30 characters.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Do privileged service accounts have to rotate their passwords if they meet the 30-character requirement?,No. Privileged service accounts that meet the 30‑character minimum password strength are not required to rotate their passwords.,13. Service accounts with privileged access meeting the 30-character minimum password strength criteria are not required to rotate their passwords.,Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,When must passwords be rotated for accounts with an exception to the interactive logon policy?,Accounts granted an exception to the interactive logon policy must have their passwords rotated every 365 days.,"14. It is required to rotate passwords for accounts that have an exception to interactive logon policy whereby, they can ‘logon’ – it is required to rotate these passwords every 365 days.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,Does BCG still require regular password expiry (ageing) for users in Active Directory?,"No. Password ageing in Active Directory is no longer required, but any sign of compromise requires an immediate password change.","15. Password ageing (set in Active Directory) is no longer required, though any indication of compromise must lead to immediate change of the password.",Global BCG User Passwords and PINs Policy
Passwords_Policy_Global_2025_gt_v1,Global BCG User Passwords and PINs Policy-v.3.9.pdf,Rebecca Williams,"How many previous passwords does BCG remember, and how does this affect reuse?","Password history is set to 24, meaning your previous 24 passwords cannot be reused until they fall off the list, which increases the time before a compromised password can be reused.",16. Length of password history maintained is 24. The previous 24 passwords will be remembered and cannot be used again until they fall off the list. This raises the time until a password can be reused should it become compromised.,Global BCG User Passwords and PINs Policy
