Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,What is the main purpose of BCG’s Global Information Security Policy?,"The policy provides a firm‑wide framework for oversight to ensure that all users, systems, devices, digital assets, and networks at BCG meet minimum Information Security and Data Protection requirements. It ensures enterprise IT security risks are addressed and that internal controls are implemented to preserve the confidentiality, integrity, availability, accountability, and non‑repudiation of information and systems. It also sets the oversight structure to align security strategies with business objectives and applicable laws and client requirements.","“This Global Information Security Policy (‘policy’) provides a framework for oversight to ensure all users, systems, devices, digital assets and networks within BCG meet minimum Information Security and Data Protection requirements… to preserve Confidentiality, Integrity, Availability, Accountability and Non-repudiation of information and systems.”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,Who does this policy apply to within BCG?,"The policy applies to all BCG employees, Managing Directors and Partners, officers, contractors, suppliers, and other third parties associated with Boston Consulting Group and its owned or controlled subsidiaries and affiliated entities, including Specialty Business Units.","“This policy applies to all BCG employees, Managing Directors and Partners, officers, contractors, suppliers, and other third parties associated with Boston Consulting Group and its owned or controlled subsidiaries, and affiliated entities, including Specialty Business Units (SBUs).”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,"Does the policy override applicable laws, company directives, or existing labor agreements?","No. The policy does not supersede applicable law, higher‑level company directives, or any existing labor management agreements in effect as of the policy’s effective date.","“It does not supersede applicable law or higher-level company directive, or existing labor management agreement in effect as of the effective date of this policy.”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,What core information security principles must be ensured under this policy?,"BCG must ensure the confidentiality, integrity, and availability of data, with accountability and non‑repudiation embedded as core concepts to achieve these objectives.",“To protect data assets the following key information security principles must be ensured: • Confidentiality… • Integrity… • Availability… The following 2 concepts will always be imbedded in the CIA Triad principle… • Accountability… • Non-Repudiation…”,Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,"What types of threats and risks does the policy’s risk statement highlight, and what program manages them?","The policy recognizes threats such as computer hacking, malicious code, and service disruption that have become common and sophisticated. To mitigate such risks, BCG operates an Information Security Risk Management (ISRM) Program that identifies, assesses, treats, monitors, and responds to risks and threats to protect confidentiality, integrity, and availability of BCG’s assets.","“Threats such as computer hacking, malicious code, and disruption of services have become more common and sophisticated… To mitigate Information Security related risks BCG has established an Information Security Risk Management (ISRM) Program… to protect the Confidentiality, Integrity, and Availability of BCG’s assets.”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,Does the policy require adherence to privacy laws such as GDPR?,"Yes. The policy must adhere to privacy and protection laws and regulations wherever BCG operates, including but not limited to the EU General Data Protection Regulation (GDPR).","“This policy must adhere to privacy and protection laws and regulations wherever BCG operates, including but not limited to, the EU General Data Protection Regulation (“GDPR”).”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,What security measures must be taken to protect BCG data and systems?,"Security measures must protect against any kind of unauthorized access, alteration, disclosure, or destruction of data and information systems, including accidental loss or destruction.","“Security measures must be taken against any kind of unauthorized access to, alteration, disclosure or destruction of data and information systems. This also includes accidental loss or destruction.”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,What security awareness training does BCG require?,BCG’s ISRM Team provides regular Security Awareness Training and an annual mandatory training module that reinforces key information security principles and responsibilities.,"“To enable consistent implementation of this policy, the Information Security Risk Management Team (ISRM Team) regularly provides Security Awareness Training, including an annual mandatory training module that reinforces key information security principles and responsibilities.”",Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,Who established BCG’s Information Security Program and under what governance body does it operate?,BCG’s Executive Committee established a company‑wide Information Security Program under the direction of the Information Security Committee (ISC).,“BCG's Executive Committee (EC) has established a company-wide Information Security Program… under the direction of the Information Security Committee (ISC).”,Global Information Security Policy (Version 4.5)
Information_Security_Policy_Global_2025_gt_v1,Global Information Security Policy-v.4.5.pdf,Rebecca Williams,Who owns the Information Security Program at BCG?,BCG’s CEO and Executive Committee actively own the Information Security Program and provide direction and assignment of information security responsibilities in line with legal and business requirements.,“BCG's CEO and the EC actively own the Information Security Program. It provides direction and assignment of Information Security responsibilities in accordance with Legal and business requirements.”,Global Information Security Policy (Version 4.5)
