Dataset_id,policy_content_file_name,groundtruth_owner,ground_truth_question,ground_truth_answer,exact_excerpt_from_policy,policy_title
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"What types of devices does Boston Consulting Group (BCG) issue to staff, and what is expected of me as a custodian?","BCG issues a range of devices such as laptops, tablets, and SIM cards for staff to use in delivering both BCG and client work. Because these devices often hold sensitive information, the policy makes each employee responsible for safeguarding their assigned equipment and using it strictly in line with BCG policies.","BCG issues and maintains a variety of devices for use by sta5, including laptops, tablets 
and sim cards. These devices are critical for delivering BCG and client work, and often 
contain sensitive information. Each employee is responsible for safeguarding their 
assigned devices and using them in accordance with BCG policies.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"At Boston Consulting Group (BCG), should I ever use a non‑approved device or system for client or firm work?",No. The policy requires you to use only BCG‑approved devices and systems when performing client or firm work. Using unapproved devices is not permitted under this policy.,• Always use BCG-approved devices and systems for client and firm work.,Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,What everyday practices does the policy require to keep my Boston Consulting Group (BCG) device secure in public places?,"You should never leave devices unattended in public locations and you should keep them under your supervision at all times. The policy explicitly cites places like hotels, restaurants, planes, and reception areas as examples of where devices must not be left unattended.","• Never leave devices unattended in public places (e.g., hotels, restaurants, planes, 
reception areas).
• Keep your device under supervision at all times.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,How should I treat the confidentiality of Boston Consulting Group (BCG) devices?,"Treat all BCG devices as confidential assets because they contain sensitive BCG data. The policy underscores that these devices often hold sensitive information tied to BCG and client work, and therefore demand heightened care.","• Treat all devices as confidential assets containing sensitive BCG data.
BCG issues and maintains a variety of devices for use by sta5, including laptops, tablets 
and sim cards. These devices are critical for delivering BCG and client work, and often 
contain sensitive information. Each employee is responsible for safeguarding their 
assigned devices and using them in accordance with BCG policies.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"If a BCG device is lost or stolen, what is the very first action the policy requires?","Report the incident immediately through IT Connect. You should open a ticket in IT Connect or call the Service Centre at +91 0124-459-7045, and complete the Lost Device form without delay, because the policy stresses immediate reporting to reduce risk.","• Report immediately on IT Connect
o Open a ticket via IT Connect / or call Service Centre at +91 0124-459-7045.
o Complete the Lost Device form.
• Loss or theft must be reported immediately—delays increase risk.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,Where do I raise the incident and what contact number should I use if I cannot access the portal at Boston Consulting Group (BCG)?,"You should open a ticket via IT Connect. If you cannot access the portal, you may call the Service Centre at +91 0124-459-7045 and complete the Lost Device form as part of the report.","o Open a ticket via IT Connect / or call Service Centre at +91 0124-459-7045.
o Complete the Lost Device form.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"Do I need to file a police report (First Information Report, FIR) if my BCG device is lost or stolen?",Yes. The policy instructs you to file a police report by visiting the nearest police station and obtaining an FIR copy. You must then share that copy with your Local IT team for risk and compliance tracking.,"• File a police report
o Visit the nearest police station and obtain an FIR copy.
o Share the copy with your Local IT team for risk and compliance tracking.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"Who in Boston Consulting Group’s Local Information Technology (IT) team should I inform, and what details are required?","You must inform your Local IT team and provide all available details, including the device type, the serial number if you have it, and the location and time of the loss. You are also expected to cooperate with IT and Compliance on any follow‑up actions.","• Inform your Local IT team
o Provide all details (device type, serial number if available, location/time of 
loss).
o Cooperate with IT and Compliance for follow-up actions.",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"If I don't know the serial number, can I still report the loss of my Boston Consulting Group (BCG) device?","Yes. The policy requests the serial number if available, which means you should report even if you do not have it. Provide the device type and the location and time of the loss along with any other details you can.","o Provide all details (device type, serial number if available, location/time of 
loss).",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,What happens to the lost device after I report the incident to Boston Consulting Group (BCG)?,"BCG will remotely wipe or disable the device after you report it, which is intended to protect both firm and client data from exposure.",• The device will be remotely wiped/disabled to protect firm and client data.,Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,Will I need to change my Boston Consulting Group (BCG) password after reporting a lost or stolen device?,"Yes. You will be advised to change your BCG password immediately following your report, as an additional security measure.",• You will be advised to change your BCG password immediately.,Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,How will I continue working after my Boston Consulting Group (BCG) device is reported lost or stolen?,Replacement devices will be arranged for you according to IT asset procedures so that you can continue your work.,• Replacement devices will be arranged as per IT asset procedures.,Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,"How quickly should I report a lost or stolen Boston Consulting Group (BCG) device, and why?","You should report it immediately. The policy states that delays increase risk, so timely action is expected.","• Loss or theft must be reported immediately—delays increase risk.
• Report immediately on IT Connect",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,What examples of public places are considered high‑risk for leaving Boston Consulting Group (BCG) devices unattended?,"The policy explicitly lists hotels, restaurants, planes, and reception areas as examples of public places where devices must never be left unattended.","• Never leave devices unattended in public places (e.g., hotels, restaurants, planes, 
reception areas).",Lost or Stolen Devices - Policy & Reporting
Stolen_Devices__Policy_global_2025_gt_v1,Lost or Stolen Devices - Policy & Reporting.pdf,Vaibhav Srivastava,What are the expectations for supervising devices issued by Boston Consulting Group (BCG) during the workday?,You are expected to keep your device under supervision at all times and never leave it unattended in public places.,"• Keep your device under supervision at all times.
• Never leave devices unattended in public places (e.g., hotels, restaurants, planes, 
reception areas).",Lost or Stolen Devices - Policy & Reporting
